涉及疾病,涉及疾病的编号,疾病描述
Type 1 diabetes mellitus,H00408,"The majority of type 1 diabetes mellitus (T1DM) cases are believed to arise from an inflammatory, autoimmune attack against the beta cells in the pancreas, which consequently leads to the failure of insulin-mediated blood glucose regulation in the body. T1DM signs and symptoms can come on quickly and may include increased thirst and frequent urination, fatigue, weight loss and so on. It is recognized that both genetic and environmental determinants are important in defining disease risk. The HLA class II genes are most strongly associated with T1DM. Another plausible candidate genes are INS, CTLA4 and PTPN22. The disease may be a result of variations in several susceptibility genes, with the majority only contributing weak effects."
Mitochondrial DNA depletion syndrome,H00469,"Mitochondrial DNA depletion syndromes (MDSs) are a group of heterogeneous autosomal recessive disorders associated with a severe reduction in mitochondrial DNA in the affected tissues. The manifestations vary from tissue-specific mtDNA depletion to wide-spread multisystemic disorders. Some genes are known to underlie this group of disorders, and many disease genes are still unidentified. However, the disease mechanisms seem to be intimately associated with mtDNA replication and nucleotide pool regulation."
Progressive external ophthalmoplegia,H01118,"Progressive external ophthalmoplegia (PEO) is a progressive weakness of the external muscles of the eye resulting in blepharoptosis and ophthalmoparesis. Often other muscles are involved resulting in dysphagia and a variable neck and limb muscle weakness. Most sporadic PEO cases have an acquired genetic disease with a heteroplasmic large deletion of mitochondrial DNA (mtDNA) in muscle. In familial PEO, several modes of inheritance occur. Patients may have a nuclear gene defect that predisposes to the accumulation of mtDNA deletions. Recently, mutations in such nuclear genes have been discovered. Some mutations are dominant (PEOA) and others recessive."
Thrombocytopenia (THC),H00978,"Thrombocytopenia is defined by a decrease in the number of platelets in circulating blood, resulting in the potential for increased bleeding and decreased ability for clotting. Inherited syndromes are relatively rare causes of thrombocytopenia, but some genes underlying these disorders have been elucidated. Some inherited syndromes predispose to the development of bone marrow failure or leukemia. For example, familial platelet disorder with associated myeloid malignancy (FPDMM) is characterized by qualitative and quantitative platelet defects, and propensity to develop acute myelogenous leukemia."
Frontotemporal lobar degeneration,H00078,"Frontotemporal lobar degeneration (FTLD) is a heterogeneous syndrome with the common feature being a relatively selective degeneration of the frontal and temporal lobes. Multiple genes have been implicated in FTLD including microtubule associate protein tau (MAPT), progranulin (PGRN),Valosin-containing protein (VCP) and chromatin modifying protein 2B (CHMP2B). MAPT mutations are associated with tau pathology. Mutations in progranulin and valosin are associated with TDP-43 inclusions. The CHMP2B mutations are associated with ubiquitin-positive pathology."
Dilated cardiomyopathy,H00294,"Dilated cardiomyopathy (DCM) is a heart muscle disease characterised by dilation and impaired contraction of the left or both ventricles that results in progressive heart failure and sudden cardiac death from ventricular arrhythmia. Genetically inherited forms of DCM (""familial"" DCM) have been identified in 25-35% of patients presenting with this disease, and the inherited gene defects are an important cause of ""familial"" DCM. The pathophysiology may be separated into two categories: defects in force generation and defects in force transmission. In cases where an underlying pathology cannot be identified, the patient is diagnosed with an ""idiopathic"" DCM. Current hypotheses regarding causes of ""idiopathic"" DCM focus on myocarditis induced by enterovirus and subsequent autoimmune myocardium impairments. Antibodies to the beta1-adrenergic receptor (beta1AR), which are detected in a substantial number of patients with ""idiopathic"" DCM, may increase the concentration of intracellular cAMP and intracellular Ca2+, a condition often leading to a transient hyper-performance of the heart followed by depressed heart function and heart failure."
Acne inversa,H00681,"Acne inversa (AI), also known as hidradenitis suppurativa, is a chronic inflammatory disorder of hair follicles involving the apocrine gland-bearing areas of the body. Its characteristic features include recurrent formation of painful skin abscesses, fistulating sinuses, and disfiguring scars."
Congenital myopathy,H01810,"The congenital myopathies are a group of genetic muscle disorders characterised clinically by hypotonia and weakness, usually from birth, and a static or slowly progressive clinical course. Congenital myopathies are mainly defined by the predominant histopathological features which include nemaline rods, central cores, multiple minicores, central nuclei, and selective hypotrophy of type 1 fibres. Based on these features, individual congenital myopathies such as nemaline myopathy, central core disease, multi-minicore disease, centronuclear myopathy, and congenital fiber type disproportion were reported. Over the past decade there have been major advances in defining the genetic basis of the majority of congenital myopathy subtypes. However the relationship between each congenital myopathy, defined on histological grounds, and the genetic cause is complex. Many of the congenital myopathies are due to mutations in more than one gene, and mutations in the same gene can cause different muscle pathologies."
Prune belly syndrome,H02129,"Prune belly syndrome (PBS) is a rare congenital anomaly characterized by deficient or absent abdominal wall musculature, hypotonia, ectasia of the urinary system, and bilateral intra-abdominal testes. A homozygous loss-of-function mutation of muscarinic acetylcholine receptor M3 (CHRM3) has been described from patients with a PBS-like syndrome. CHRM3 encodes the major receptor mediating urinary bladder contraction upon micturition."
Long QT syndrome,H00720,"Long QT syndrome (LQTS) is a cardiovascular disorder resulting from mutations in cardiac ion channels. LQTS is characterized by prolongation of the QT interval in the electrocardiogram (ECG) and a propensity to torsades de pointes ventricular tachycardia frequently leading to syncope, cardiac arrest, or sudden death usually in young otherwise healthy individuals. Anesthesia in a patient with LQTS can trigger malignant arrhythmias and is therefore a high-risk procedure. There are two well-known syndromes with a long QT interval. The Romano-Ward syndrome is characterized by an autosomal-dominant inheritance without familial deafness. The Jervell and Lange-Nielsen syndrome (JLNS) has an autosomal-recessive pattern of inheritance and is associated with deafness."
Brugada syndrome,H00728,"The Brugada syndrome (BRS) is an autosomal dominant genetic disorder that is characterised by abnormal electrocardiogram (ECG) findings and an increased risk of sudden cardiac death. Diagnosis is based on clinical findings. Mutations in nine genes (SCN5A, GPD1L, CACNA1C, CACNB2, SCN1B, KCNE3, SCN3B, HCN4, and KCND3) are known to cause BRS. In approximately 20% of the cases BRS is caused by mutations in the SCN5A gene, encoding the cardiac sodium channel."
Neurodevelopmental disorder with movement abnormalities or hypotonia,H02397,Neurodevelopmental disorder (NED) with movement abnormalities or hypotonia is a group of syndromic neurodevelopmental disorders. Some of them have complications in addition to movement abnormalities or hypotonia. Several underlying genetic causes of these diseases have been identified.
Primary aldosteronism,H01603,"Primary aldosteronism is a clinical syndrome characterized by excess secretion of aldosterone from the adrenal gland. It is manifested by hypertension and hyporeninemia. In the past, hypokalemia was thought to be a mandatory finding in primary aldosteronism. However, later studies confirmed that most patients with primary aldosteronism are normokalemic. The prevalence of primary aldosteronism among nonselected hypertensive persons is between 5% and 13%, and it is now recognized to be the most common form of secondary hypertension. There are the seven subtypes of primary aldosteronism. Aldosterone-producing adenoma (APA) and bilateral idiopathic hyperaldosteronism (IHA) are the most common subtypes of primary aldosteronism. Unilateral adrenal hyperplasia, aldosterone-producing adrenocortical carcinoma, ectopic aldosterone-producing adenoma, and familial hyperaldosteronism (type I and typeII) are unusual subtypes. Somatic mutations in KCNJ5, ATP1A1, ATP2B3, and CACNA1D have been described in APAs. Usually, adenomas are managed surgically and bilateral hyperplasia, medically."
Sinoatrial node dysfunction and deafness,H02636,"Sinoatrial node dysfunction and deafness (SANDD) is a genetic disease characterized by a low heart beat and severe-to-profound deafness. A mutation of CACNA1D, encoding the Cav1.3 protein, has been identified in families with SANDD."
Cone-rod dystrophy and cone dystrophy,H00481,"Cone-rod dystrophy (CORD) and cone dystrophy (COD) are a subgroup of inherited retinal dystrophies characterized by progressive loss of photoreceptor function. In contrast to retinitis pigmentosa (RP), deterioration of the cone cells is more severe than the rod cells. In CORD, there is a progressive loss of cone photoreceptor function followed by gradual loss of rod photoreceptor function and retinal degeneration. In COD, cone function decreases progressively from its onset, though rod function is well preserved until the late stages of the disease."
Aland Island eye disease,H00690,"Aland Island eye disease (AIED) is an X-linked form of ocular hypopigmentation. Affected males demonstrate nystagmus, decreased visual acuity, myopia, astigmatism, achromatopsia, and fundus hypopigmentation."
Congenital stationary night blindness,H00787,"Congenital stationary night blindness (CSNB) is a group of nonprogressive retinal disorders characterized by impaired night vision. CSNB is currently associated with X-linked genes (NYX, CACNA1F), autosomal recessive genes (CABP4, GRK1, GRM6, SAG, TRPM1), and autosomal dominant genes (GNAT1, PDE6B, RHO). Two types of CSNB can be distinguished by use of the standard flash electroretinogram (ERG). CSNB type 1 (CSNB1) is characterized by the complete absence of rod pathway function, whereas CSNB type 2 (CSNB2) is caused by impaired rod and cone pathway function. Oguchi disease is a form of CSNB. Patients with the Oguchi disease have a unique yellowish-gold fundus that regains its normal color after prolonged dark adaptation. That is called the Mizuo-Nakamura phenomenon."
Periodic paralysis,H00215,"The periodic paralyses are characterized by episodic muscle weakness often related to potassium levels. They include hyperkalaemic periodic paralysis (HyperPP), hypokalaemic periodic paralysis (HypoPP), and Andersen-Tawil syndrome (ATS) caused by mutations in genes encoding for subunits of channel proteins of the skeletal muscle membrane."
Hypokalemic periodic paralysis,H00746,"Hypokalemic periodic paralysis (HOKPP) is a member of periodic paralyses, an autosomal dominant genetic disorders caused by mutations in the sodium and calcium channel genes in skeletal muscle. In general, HOKPP is characterized by reversible attacks of muscle weakness concomitant with decreased blood potassium concentrations. HypoPP is associated with point mutations in both CACNA1S (HOKPP1) and SCN4A (HOKPP2)."
Malignant hyperthermia,H02646,"Malignant hyperthermia (MH) is a pharmacogenetic disorder of skeletal muscle most often associated with the administration of volatile general anesthetic agents and/or the muscle relaxant succinylcholine. MH is likely to be fatal if untreated. In most cases, MH is caused by a defect in the ryanodine receptor."
Autosomal dominant intellectual developmental disorder,H00773,"Intellectual developmental disorder, formerly known as Mental retardation (MR), is a neurodevelopmental disorder characterized by low intelligence quotient (IQ) and deficits in adaptive behaviors. Most causative genes identified so far are either located on the X chromosome or are associated with an autosomal recessive mode of inheritance. Recently, a lot of genes associated with autosomal dominant mental retardation have been identified."
Neurodevelopmental disorder with glutamatergic synapse dysfunction,H02705,Glutamate is the major excitatory neurotransmitter in the central nervous system (CNS) and mediates its actions via activation of both ionotropic and metabotropic receptor families. Recent studies have shown that rare mutations in glutamate receptors and synaptic scaffold proteins are associated with neurodevelopmental disorders.
Landau-Kleffner syndrome,H01514,"Landau-Kleffner syndrome (LKS) is an epileptic encephalopathy that usually manifests itself in children aged 3-8 years with previously normal development. All LKS patients have abnormal EEG that is compatible with the diagnosis of epilepsy, however, only 70% have clinical seizures. The main symptoms are acute or subacute aphasia with inability to recognise, process or interpret verbal and/or non-verbal sounds. Although the exact etiology of LKS remains unclear, families with mutations in the GRIN2A gene have been described, in which some members have LKS. Recent reports have implicated susceptibility genes (SRPX2, ELP4) to idiopathic focal epilepsies."
"Rolandic epilepsy, mental retardation, and speech dyspraxia",H01827,"Rolandic epilepsy is the mostequent childhood focal epilepsy. Mutations in GRIN2A has been detected in atypical rolandic epilepsy associated with verbal dyspraxia or with dysphasia. Recently, SRPX2 has been identified as being responsible for rolandic epilepsy associated with speech dyspraxia and mental retardation."
Myocardial infarction,H01730,"Myocardial infarction (MI) or acute myocardial infarction (AMI) is a term for an event of heart attack. It is due to formation of plaques in the interior walls of the arteries resulting in reduced blood flow to the heart and injuring heart muscles because of lack of oxygen supply. The symptoms of MI include chest pain, which travels from left arm to neck, shortness of breath, nausea, epigastric discomfort, syncope, diaphoresis, and other factors. The diagnosis of MI is dependent on the sensitivity and specificity of the clinical criteria, electrocardiographic (ECG) findings, imaging studies and biomarkers used to detect death of cardiomyocytes. The treatment of MI includes, aspirin tablets, and to dissolve arterial blockage injection of thrombolytic or clot dissolving drugs such as tissue plasminogen activator, streptokinase or urokinase in blood within 3 h of the onset of a heart attack. Nitroglycerin and antihypertensive drugs such as beta-blockers and ACE inhibitors may also be used to lower blood pressure and to improve the oxygen demand of heart."
Neurodevelopmental disorder with defects of ubiquitin-proteasome system,H02715,"The ubiquitin-proteasome system (UPS) is the major proteolytic system that controls protein degradation and it regulates many cellular processes, such as cell division, gene expression and signal transduction. Many neurodevelopmental disorders caused by mutations in genes encoding components of the UPS have been reported."
Proteasome-associated autoinflammatory syndrome,H02532,"Proteasome-associated autoinflammatory syndrome (PRAAS) is also known as Chronic atypical neutrophilic dermatosis with lipodystrophy and elevated temperature (CANDLE). PRAAS is a rare autoinflammatory interferonopathy caused by loss-of-function mutations in proteasome genes. In contrast to what occurs in many other autoinflammatory diseases, patients with PRAAS do not respond to IL-1 inhibition."
"Deafness, cataract, impaired intellectual development, and polyneuropathy",H02634,"Deafness, cataract, impaired intellectual development, and polyneuropathy (DCIDP) is a novel autosomal recessive syndrome with varying degrees of neurosensorial dysfunctions. DCIDP is caused by mutations in PSMC3 gene, encoding the proteasome ATPase subunit Rpt5. The proteasome is a multiprotein complex involved in the ATP-dependent degradation of ubiquitinated proteins to maintain cellular protein homeostasis and to control the abundance of many regulatory molecules."
Wolcott-Rallison syndrome,H00766,"Wolcott-Rallison syndrome is a rare autosomal recessive disorder characterized by neonatal insulin-requiring diabetes and associated with skeletal dysplasia and growth retardation. Diabetes appears during the first months of life in most patients and major skeletal manifestations include the long bones, pelvis and vertebrae. Liver is also affected in the disease."
Myxoid liposarcoma,H00049,"Liposarcoma(LS) represents the most common soft-tissue sarcoma of adults and occurs most often in the thigh and retroperitoneum. LSs are subclassified into well-differentiated, myxoid, round cell, and pleomorphic types. The myxoid type, the most common subtype, accounts for approximately 40% to 54% of all liposarcomas. The karyotypic hallmark of myxoid LS is the t(12;16)(q13;p11), present cytogenetically in >90% of the cases. The translocation leads to the fusion of the DDIT3(CHOP) and FUS(TLS) genes at 12q13 and 16p11, respectively, and the generation of a FUS-DDIT3 hybrid protein. In 4 cases of myxoid LS, a variant chromosomal translocation has been described, t(12;22), in which DDIT3 fuses instead with EWSR1(EWS), a gene highly related to TLS."
Bipolar disorder,H01653,"Bipolar disorder, previously known as manic depressive illness, is a severe chronic mood disorder, characterized by the recurrence of mania (hypomania), depression, or mixed episodes. It is one of the main causes of disability among young people, leading to cognitive and functional impairment and raised mortality, particularly death by suicide. Mania is the most characteristic phase of bipolar disorder. While mood elevation and euphoria are commonly described phenotypic descriptors of mania, irritability and anger may dominate. At the present time, there is solid evidence supporting the use of lithium, the anticonvulsants valproate and carbamazepine, and some antipsychotics in mania. Manic or hypomanic episodes differ in severity and length. In a hypomanic episode, a disturbance in functioning can be seen by others but does not typically cause severe impairment or require admission to hospital. At onset, most patients with bipolar disorder present with a depressive episode that differs subtly from unipolar depression. The first step in the management of bipolar disorder is to confirm the diagnosis of mania or hypomania and define the patient's mood state, because the therapeutic approach differs considerably for hypomania, mania, depression, and euthymia. While effective pharmacological treatments exist for bipolar disorder, the pathophysiology of the condition essentially remains unknown. Although bipolar disorder is one of the most heritable psychiatric disorders, a multifactorial model in which gene and environment interact is currently thought to best fit this disorder. Many risk alleles of small effect which are described in genome-wide association studies, contribute to the polygenic risk of bipolar disorder. It is suggested that the dopaminergic system may play a central role in bipolar disorder, although no singular dysfunction of neurotransmitter systems has been identified."
Lennox-Gastaut syndrome,H01813,"Lennox-Gastaut syndrome (LGS) is an epileptic encephalopathy characterized by multiple seizure types, typical findings in the electroencephalogram (EEG), and delayed psychomotor development. Tonic seizures during sleep are the feature often used as the foundation for diagnosis. LGS is characterized by multiple concurrent seizure types, including tonic, atypical absence seizures, atonic, and myoclonic jerks. Non-convulsive status epilepticus, lasting days to weeks, occurs in half of patients. The etiology of LGS is heterogeneous and includes both genetic and acquired causes. LGS most commonly first manifests in children between 3 and 5 years of age, but onset can also occur at younger and older ages. It has been reported that 20-36% of children diagnosed with LGS syndrome have a history of West syndrome."
Achromatopsia,H00971,"Achromatopsia (Rod monochromacy/ACHM) is an autosomal recessive retinal dystrophy with a prevalence of 1 in 33,000 individuals. It is characterized by low visual acuity, photophobia, nystagmus, difficulty in color discrimination, and no recordable cone function in electroretinography with normal rod functions. The condition is caused by genetic defects affecting crucial components of the cone photoreceptor signaling."
Chronic lymphocytic leukemia,H00005,"Chronic lymphocytic leukemia (CLL) is caused by the abnormal progressive accumulation of functionally incompetent monoclonal B-lymphocytes in blood, bone marrow, lymph nodes and spleen. It is the most common adult leukemia in Western countries, accounting for about 30% of total leukaemias. Worldwide there are approximately 180,000 new cases every year. A main focus in CLL research involved the evaluation of genetic features related to somatic gene mutation or deletions that disrupt apoptosis and enhance tumor cell proliferation. The best characterized genes are TP53 (also known as p53) and ATM, for which mutations and/or deletions have been described that predict rapid disease progression, resistance to conventional therapies and poor survival."
Hodgkin lymphoma,H00007,"Hodgkin's lymphoma (HL) is one of the most frequent lymphomas in the Western world and often affects young adults. HL is subdivided into classical and nodular lymphocyte-predominant forms. About 95% of cases are classical HL, and 5% are nodular lymphocyte-predominant HL (NLPHL). A characteristic feature of HL is the rareness of the tumor cells, which are called Hodgkin's and Reed/Sternberg (HRS) cells in classical HL and lymphocytic and histiocytic (L&H) cells in NLPHL. These cells represent only about 1% of the cellular infiltrate, while the vast majority of infiltrating cells are T lymphocytes, histiocytes, eosinophilic granulocytes and plasma cells. HRS cells show constitutive activity of both the classical and alternative NF-{kappa}B signalling pathways, which is probably a major pathogenetic mechanism in Hodgkin's lymphoma. The NF-{kappa}B activity in HRS cells is probably mediated by diverse mechanisms: receptor signalling through CD40, RANK, BCMA, and TACI, genomic REL amplification, destructive mutations in IKBA and IKBE. In HL pathogenesis associated with Epstein-Barr virus infection, the activation of NF-{kappa}B is induced by viral latent membrane protein 1 (LMP1)."
Adult T-cell leukemia,H00009,"Adult T-cell leukemia (ATL) is one of the most aggressive hematologic malignancies and is caused by human T-cell leukemia virus type 1 (HTLV-1). The HTLV-1 Tax protein has been demonstrated to be the oncogenic protein of the virus. Tax may contribute to the process of carcinogenesis by a variety of mechanisms, including upregulating the expression of cellular genes involved in T cell growth and proliferation, including IL-2, IL-2R-alpha, and IL-15. However, ATL cells do not always need Tax expression in the later stage of leukemogenesis. Genetic and epigenetic changes should be implicated in such multistep leukemogenesis. Regarding genetic changes, mutation of p53, and deletion of p16 have been reported in ATL. Mutations of Fas gene are also reported in patients with ATL cells. However, such genetic changes were not frequently detected. In this regard, epigenetic change of p16/INK4A gene was more frequent in ATL cells, and accumulated according to the disease progression. This finding suggests that epigenetic change, including DNA methylation, plays an important role in the leukemogenesis of ATL."
Esophageal cancer,H00017,"Esophageal cancer represents the 9th leading cancer in the world and is associated with a 5-year survival rate under 25%. The two main forms are squamous-cell carcinoma (ESCC) and adenocarcinoma (EAC). ESCC is the most frequent histological subtype in esophageal cancer, although the incidence of EAC is increasing faster than any other malignancy in the western world. Whereas ESCC can be attributed to alcohol and tobacco consumption, the most important risk factor for the development of EAC is duodenal-gastric-esophageal reflux. In the process of tumorigenesis at the cellular level, multiple genetic alterations are involved, including mutation of the p53 gene, amplification of cyclin D1 gene, among others."
Autoimmune lymphoproliferative syndromes,H00108,"Autoimmune lymphoproliferative syndromes (ALPS) are autosomal dominant disorders with clinical features of various autoimmune manifestations that predominantly involve polyclonal accumulation of lymphocytes in the spleen and lymph nodes with lymphadenopathy and/or splenomegaly, and expansion of double-negative (DN) T cells in the peripheral blood. Central to the cellular pathogenesis is defective FAS-induced apoptosis, which in turn leads to dysregulation of lymphocyte homeostasis. ALPS caused by heterozygous mutations in the Fas gene (ALPS Type Ia) make up the majority of identified cases. However, other mutations, namely of the FasL gene (ALPS Type Ib) and the caspase 8 and 10 genes (ALPS Type II) are occasionally detected, whereas some patients do not present any known mutations (ALPS-III). Recently, mutations of the NRAS gene have been suggested to cause ALPS Type IV."
Mycosis fungoides,H01463,"Mycosis fungoides (MF) is the most common type of primary cutaneous T-cell lymphomas (CTCL), which are a heterogeneous group of malignancies derived from skin-homing T cells. MF presents in the skin with erythematous patches, plaques, and less frequently, tumours. Although the aetiologies of MF are unknown, important insights have been gained in the immunological and genetic perturbations that are associated with these diseases. Mutations in the p53, p15, p16, JunB, and PTEN genes generally occur in later-stage disease. Loss of normal apoptotic T-cell pathways has also been reported. Apoptosis is partly mediated by death receptors, notably Fas, which is part of the tumor necrosis factor family of receptors. Decreased and/or defective Fas expression by neoplastic T cells has been associated with advanced/aggressive disease and impaired Fas-mediated apoptosis."
Disorders of innate immunity,H02525,Innate immune responses represent the first line of defense against potentially invading organisms. Disorders of innate immunity (e.g. phagocyte and complement disorders) delay the induction of the immune response and may worsen outcomes of infection.
Hepatocellular carcinoma,H00048,"Hepatocellular carcinoma (HCC) is a major type of primary liver cancer and one of the rare human neoplasms etiologically linked to viral factors. It has been shown that, after HBV/HCV infection and alcohol or aflatoxin B1 exposure, genetic and epigenetic changes occur. The recurrent mutated genes were found to be highly enriched in multiple key driver signaling processes, including telomere maintenance, TP53, cell cycle regulation, the Wnt/beta-catenin pathway (CTNNB1 and AXIN1), the phosphatidylinositol-3 kinase (PI3K)/AKT/mammalian target of rapamycin (mTOR) pathway. Recent studies using whole-exome sequencing have revealed recurrent mutations in new driver genes involved in the chromatin remodelling (ARID1A and ARID2) and the oxidative stress (NFE2L2) pathways."
Colorectal cancer,H00020,"Colorectal cancer (CRC) is the second largest cause of cancer-related deaths in Western countries. CRC arises from the colorectal epithelium as a result of the accumulation of genetic alterations in defined oncogenes and tumour suppressor genes (TSG). Two major mechanisms of genomic instability have been identified in sporadic CRC progression. The first, known as chromosomal instability (CIN), results from a series of genetic changes that involve the activation of oncogenes such as K-ras and inactivation of TSG such as p53, DCC/Smad4, and APC. The second, known as microsatellite instability (MSI), results from inactivation of the DNA mismatch repair genes MLH1 and/or MSH2 by hypermethylation of their promoter, and secondary mutation of genes with coding microsatellites, such as transforming growth factor receptor II (TGF-RII) and BAX. Hereditary syndromes have germline mutations in specific genes (mutation in the tumour suppressor gene APC on chromosome 5q in FAP, mutated DNA mismatch repair genes in HNPCC)."
Bladder cancer,H00022,"The urothelium covers the luminal surface of almost the entire urinary tract, extending from the renal pelvis, through the ureter and bladder, to the proximal urethra. The majority of urothelial carcinoma are bladder carcinomas, and urothelial carcinomas of the renal pelvis and ureter account for only approximately 7% of the total. Urothelial tumours arise and evolve through divergent phenotypic pathways. Some tumours progress from urothelial hyperplasia to low-grade non-invasive superficial papillary tumours. More aggressive variants arise either from flat, high-grade carcinoma in situ (CIS) and progress to invasive tumours, or they arise de novo as invasive tumours. Low-grade papillary tumors frequently show a constitutive activation of the receptor tyrosine kinase-Ras pathway, exhibiting activating mutations in the HRAS and fibroblast growth factor receptor 3 (FGFR3) genes. In contrast, CIS and invasive tumors frequently show alterations in the TP53 and RB genes and pathways. Invasion and metastases are promoted by several factors that alter the tumour microenvironment, including the aberrant expression of E-cadherins (E-cad), matrix metalloproteinases (MMPs), angiogenic factors such as vascular endothelial growth factor (VEGF)."
