涉及疾病,涉及疾病的编号,涉及疾病的通路,通路编号
Cardiofaciocutaneous syndrome,H01745,MAPK signaling pathway,hsa04010
Leopard syndrome,H01984,MAPK signaling pathway,hsa04010
Leopard syndrome,H01984,Ras signaling pathway,hsa04014
Dilated cardiomyopathy,H00294,Calcium signaling pathway,hsa04020
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,hsa04820
Noonan syndrome and related disorders,H00523,Ras signaling pathway,hsa04014
Noonan syndrome and related disorders,H00523,MAPK signaling pathway,hsa04010
Noonan syndrome and related disorders,H00523,Insulin signaling pathway,hsa04910
Noonan syndrome and related disorders,H00523,EGFR tyrosine kinase inhibitor resistance,hsa01521
Noonan syndrome and related disorders,H00523,ErbB signaling pathway,hsa04012
Noonan syndrome and related disorders,H00523,Natural killer cell mediated cytotoxicity,hsa04650
Noonan syndrome and related disorders,H00523,Regulation of actin cytoskeleton,hsa04810
Noonan syndrome,H01738,MAPK signaling pathway,hsa04010
Noonan syndrome,H01738,Ras signaling pathway,hsa04014
Leopard syndrome,H01984,MAPK signaling pathway,hsa04010
Leopard syndrome,H01984,Ras signaling pathway,hsa04014
Noonan syndrome and related disorders,H00523,Ras signaling pathway,hsa04014
Noonan syndrome and related disorders,H00523,MAPK signaling pathway,hsa04010
Noonan syndrome and related disorders,H00523,Insulin signaling pathway,hsa04910
Noonan syndrome and related disorders,H00523,EGFR tyrosine kinase inhibitor resistance,hsa01521
Noonan syndrome and related disorders,H00523,ErbB signaling pathway,hsa04012
Noonan syndrome and related disorders,H00523,Natural killer cell mediated cytotoxicity,hsa04650
Noonan syndrome and related disorders,H00523,Regulation of actin cytoskeleton,hsa04810
Cardiofaciocutaneous syndrome,H01745,MAPK signaling pathway,hsa04010
Melorheostosis,H02631,MAPK signaling pathway,hsa04010
Noonan syndrome and related disorders,H00523,Ras signaling pathway,hsa04014
Noonan syndrome and related disorders,H00523,MAPK signaling pathway,hsa04010
Noonan syndrome and related disorders,H00523,Insulin signaling pathway,hsa04910
Noonan syndrome and related disorders,H00523,EGFR tyrosine kinase inhibitor resistance,hsa01521
Noonan syndrome and related disorders,H00523,ErbB signaling pathway,hsa04012
Noonan syndrome and related disorders,H00523,Natural killer cell mediated cytotoxicity,hsa04650
Noonan syndrome and related disorders,H00523,Regulation of actin cytoskeleton,hsa04810
Cardiofaciocutaneous syndrome,H01745,MAPK signaling pathway,hsa04010
Noonan syndrome,H01738,MAPK signaling pathway,hsa04010
Noonan syndrome,H01738,Ras signaling pathway,hsa04014
Common variable immunodeficiency,H00088,PI3K-Akt signaling pathway,hsa04151
Common variable immunodeficiency,H00088,B cell receptor signaling pathway,hsa04662
Common variable immunodeficiency,H00088,T cell receptor signaling pathway,hsa04660
Chronic mucocutaneous ulceration,H02593,TNF signaling pathway,hsa04668
Chronic mucocutaneous ulceration,H02593,NF-kappa B signaling pathway,hsa04064
Asthma,H00079,Hematopoietic cell lineage,hsa04640
Asthma,H00079,Th1 and Th2 cell differentiation,hsa04658
Asthma,H00079,Th17 cell differentiation,hsa04659
Asthma,H00079,Fc epsilon RI signaling pathway,hsa04664
Asthma,H00079,Cytokine-cytokine receptor interaction,hsa04060
Asthma,H00079,IL-17 signaling pathway,hsa04657
Asthma,H00079,Antigen processing and presentation,hsa04612
Systemic lupus erythematosus,H00080,Systemic lupus erythematosus,hsa05322
Systemic lupus erythematosus,H00080,Toll-like receptor signaling pathway,hsa04620
Systemic lupus erythematosus,H00080,Cytosolic DNA-sensing pathway,hsa04623
Systemic lupus erythematosus,H00080,T cell receptor signaling pathway,hsa04660
Allograft rejection,H00083,Antigen processing and presentation,hsa04612
Graft-versus-host disease,H00084,JAK-STAT signaling pathway,hsa04630
Graft-versus-host disease,H00084,JAK-STAT signaling pathway,hsa04630
Crohn disease,H00286,NOD-like receptor signaling pathway,hsa04621
Crohn disease,H00286,Cytokine-cytokine receptor interaction,hsa04060
Crohn disease,H00286,JAK-STAT signaling pathway,hsa04630
Crohn disease,H00286,Inflammatory bowel disease,hsa05321
Rheumatoid arthritis,H00630,Antigen processing and presentation,hsa04612
Rheumatoid arthritis,H00630,Toll-like receptor signaling pathway,hsa04620
Rheumatoid arthritis,H00630,C-type lectin receptor signaling pathway,hsa04625
Rheumatoid arthritis,H00630,Th17 cell differentiation,hsa04659
Castleman disease,H01479,Cytokine-cytokine receptor interaction,hsa04060
Castleman disease,H01479,JAK-STAT signaling pathway,hsa04630
Castleman disease,H01479,Hematopoietic cell lineage,hsa04640
Castleman disease,H01479,Th17 cell differentiation,hsa04659
Juvenile idiopathic arthritis,H01672,Cytokine-cytokine receptor interaction,hsa04060
Juvenile idiopathic arthritis,H01672,JAK-STAT signaling pathway,hsa04630
Esophageal cancer,H00017,Cell cycle,hsa04110
Esophageal cancer,H00017,Cellular senescence,hsa04218
Cerebral amyloid angiopathy; Hereditary cerebral hemorrhage with amyloidosis,H01185,Serotonergic synapse,hsa04726
Hereditary spastic paraplegia,H00266,Endocytosis,hsa04144
Hereditary spastic paraplegia,H00266,Lysosome,hsa04142
Hereditary spastic paraplegia,H00266,Glycerophospholipid metabolism,hsa00564
Hereditary spastic paraplegia,H00266,Purine metabolism,hsa00230
Hereditary spastic paraplegia,H00266,Cytoskeleton in muscle cells,hsa04820
Lissencephaly,H00268,PI3K-Akt signaling pathway,hsa04151
Lissencephaly,H00268,Focal adhesion,hsa04510
Lissencephaly,H00268,ECM-receptor interaction,hsa04512
Parkinson disease,H00057,Mitophagy - animal,hsa04137
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,PI3K-Akt signaling pathway,hsa04151
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Autophagy - animal,hsa04140
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Mitophagy - animal,hsa04137
Progressive supranuclear palsy; Steele-Richardson-Olszewski syndrome,H00077,MAPK signaling pathway,hsa04010
Frontotemporal lobar degeneration,H00078,Wnt signaling pathway,hsa04310
Frontotemporal lobar degeneration,H00078,Notch signaling pathway,hsa04330
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Aminoacyl-tRNA biosynthesis,hsa00970
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Oxidative phosphorylation,hsa00190
Leber hereditary optic neuropathy and dystonia,H01365,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
