基因名称,基因ID,涉及其他数据库,涉及其他数据的编号,涉及其他数据库的链接（若有多个网址用分号分隔）
"ITPR3 inositol 1,4,5-trisphosphate receptor type 3",3710,UniProt,Q14573 A6H8K3 Q59ES2,https://www.uniprot.org/uniprot/Q14573; https://www.uniprot.org/uniprot/A6H8K3; https://www.uniprot.org/uniprot/Q59ES2
MCU mitochondrial calcium uniporter,90550,NCBI-GeneID,90550,https://www.ncbi.nlm.nih.gov/gene/90550
MCU mitochondrial calcium uniporter,90550,NCBI-ProteinID,NP_612366,https://www.ncbi.nlm.nih.gov/protein/NP_612366
MCU mitochondrial calcium uniporter,90550,OMIM,614197,https://omim.org/entry/614197
MCU mitochondrial calcium uniporter,90550,HGNC,23526,https://www.genenames.org/tools/search/#!/?query=%2023526
MCU mitochondrial calcium uniporter,90550,Ensembl,ENSG00000156026,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000156026
MCU mitochondrial calcium uniporter,90550,UniProt,Q8NE86,https://www.uniprot.org/uniprot/Q8NE86
VDAC1 voltage dependent anion channel 1,7416,NCBI-GeneID,7416,https://www.ncbi.nlm.nih.gov/gene/7416
VDAC1 voltage dependent anion channel 1,7416,NCBI-ProteinID,NP_003365,https://www.ncbi.nlm.nih.gov/protein/NP_003365
VDAC1 voltage dependent anion channel 1,7416,OMIM,604492,https://omim.org/entry/604492
VDAC1 voltage dependent anion channel 1,7416,HGNC,12669,https://www.genenames.org/tools/search/#!/?query=%2012669
VDAC1 voltage dependent anion channel 1,7416,Ensembl,ENSG00000213585,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000213585
VDAC1 voltage dependent anion channel 1,7416,UniProt,P21796 B3KTS5 A0A1L1UHR1,https://www.uniprot.org/uniprot/P21796; https://www.uniprot.org/uniprot/B3KTS5; https://www.uniprot.org/uniprot/A0A1L1UHR1
VDAC2 voltage dependent anion channel 2,7417,NCBI-GeneID,7417,https://www.ncbi.nlm.nih.gov/gene/7417
VDAC2 voltage dependent anion channel 2,7417,NCBI-ProteinID,NP_001171752,https://www.ncbi.nlm.nih.gov/protein/NP_001171752
VDAC2 voltage dependent anion channel 2,7417,OMIM,193245,https://omim.org/entry/193245
VDAC2 voltage dependent anion channel 2,7417,HGNC,12672,https://www.genenames.org/tools/search/#!/?query=%2012672
VDAC2 voltage dependent anion channel 2,7417,Ensembl,ENSG00000165637,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000165637
VDAC2 voltage dependent anion channel 2,7417,UniProt,P45880 A0A024QZT0,https://www.uniprot.org/uniprot/P45880; https://www.uniprot.org/uniprot/A0A024QZT0
VDAC3 voltage dependent anion channel 3,7419,NCBI-GeneID,7419,https://www.ncbi.nlm.nih.gov/gene/7419
VDAC3 voltage dependent anion channel 3,7419,NCBI-ProteinID,NP_005653,https://www.ncbi.nlm.nih.gov/protein/NP_005653
VDAC3 voltage dependent anion channel 3,7419,OMIM,610029,https://omim.org/entry/610029
VDAC3 voltage dependent anion channel 3,7419,HGNC,12674,https://www.genenames.org/tools/search/#!/?query=%2012674
VDAC3 voltage dependent anion channel 3,7419,Ensembl,ENSG00000078668,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000078668
VDAC3 voltage dependent anion channel 3,7419,UniProt,Q9Y277,https://www.uniprot.org/uniprot/Q9Y277
SLC25A4 solute carrier family 25 member 4,291,NCBI-GeneID,291,https://www.ncbi.nlm.nih.gov/gene/291
SLC25A4 solute carrier family 25 member 4,291,NCBI-ProteinID,NP_001142,https://www.ncbi.nlm.nih.gov/protein/NP_001142
SLC25A4 solute carrier family 25 member 4,291,OMIM,103220,https://omim.org/entry/103220
SLC25A4 solute carrier family 25 member 4,291,HGNC,10990,https://www.genenames.org/tools/search/#!/?query=%2010990
SLC25A4 solute carrier family 25 member 4,291,Ensembl,ENSG00000151729,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000151729
SLC25A4 solute carrier family 25 member 4,291,UniProt,P12235 A0A0S2Z3H3,https://www.uniprot.org/uniprot/P12235; https://www.uniprot.org/uniprot/A0A0S2Z3H3
SLC25A5 solute carrier family 25 member 5,292,NCBI-GeneID,292,https://www.ncbi.nlm.nih.gov/gene/292
SLC25A5 solute carrier family 25 member 5,292,NCBI-ProteinID,NP_001143,https://www.ncbi.nlm.nih.gov/protein/NP_001143
SLC25A5 solute carrier family 25 member 5,292,OMIM,300150,https://omim.org/entry/300150
SLC25A5 solute carrier family 25 member 5,292,HGNC,10991,https://www.genenames.org/tools/search/#!/?query=%2010991
SLC25A5 solute carrier family 25 member 5,292,Ensembl,ENSG00000005022,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000005022
SLC25A5 solute carrier family 25 member 5,292,UniProt,P05141 Q6NVC0,https://www.uniprot.org/uniprot/P05141; https://www.uniprot.org/uniprot/Q6NVC0
SLC25A6 solute carrier family 25 member 6,293,NCBI-GeneID,293,https://www.ncbi.nlm.nih.gov/gene/293
SLC25A6 solute carrier family 25 member 6,293,NCBI-ProteinID,NP_001627,https://www.ncbi.nlm.nih.gov/protein/NP_001627
SLC25A6 solute carrier family 25 member 6,293,OMIM,300151 403000,https://omim.org/entry/300151; https://omim.org/entry/403000
SLC25A6 solute carrier family 25 member 6,293,HGNC,10992,https://www.genenames.org/tools/search/#!/?query=%2010992
SLC25A6 solute carrier family 25 member 6,293,Ensembl,ENSG00000169100 ENSG00000292334,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000169100; https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000292334
SLC25A6 solute carrier family 25 member 6,293,UniProt,P12236 Q6I9V5,https://www.uniprot.org/uniprot/P12236; https://www.uniprot.org/uniprot/Q6I9V5
SLC25A31 solute carrier family 25 member 31,83447,NCBI-GeneID,83447,https://www.ncbi.nlm.nih.gov/gene/83447
SLC25A31 solute carrier family 25 member 31,83447,NCBI-ProteinID,NP_112581,https://www.ncbi.nlm.nih.gov/protein/NP_112581
SLC25A31 solute carrier family 25 member 31,83447,OMIM,610796,https://omim.org/entry/610796
SLC25A31 solute carrier family 25 member 31,83447,HGNC,25319,https://www.genenames.org/tools/search/#!/?query=%2025319
SLC25A31 solute carrier family 25 member 31,83447,Ensembl,ENSG00000151475,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000151475
SLC25A31 solute carrier family 25 member 31,83447,UniProt,Q9H0C2,https://www.uniprot.org/uniprot/Q9H0C2
"CYCS cytochrome c, somatic",54205,NCBI-GeneID,54205,https://www.ncbi.nlm.nih.gov/gene/54205
"CYCS cytochrome c, somatic",54205,NCBI-ProteinID,NP_061820,https://www.ncbi.nlm.nih.gov/protein/NP_061820
"CYCS cytochrome c, somatic",54205,OMIM,123970,https://omim.org/entry/123970
"CYCS cytochrome c, somatic",54205,HGNC,19986,https://www.genenames.org/tools/search/#!/?query=%2019986
"CYCS cytochrome c, somatic",54205,Ensembl,ENSG00000172115,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000172115
"CYCS cytochrome c, somatic",54205,UniProt,P99999 G4XXL9,https://www.uniprot.org/uniprot/P99999; https://www.uniprot.org/uniprot/G4XXL9
APAF1 apoptotic peptidase activating factor 1,317,NCBI-GeneID,317,https://www.ncbi.nlm.nih.gov/gene/317
APAF1 apoptotic peptidase activating factor 1,317,NCBI-ProteinID,NP_863651,https://www.ncbi.nlm.nih.gov/protein/NP_863651
APAF1 apoptotic peptidase activating factor 1,317,OMIM,602233,https://omim.org/entry/602233
APAF1 apoptotic peptidase activating factor 1,317,HGNC,576,https://www.genenames.org/tools/search/#!/?query=%20576
APAF1 apoptotic peptidase activating factor 1,317,Ensembl,ENSG00000120868,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000120868
APAF1 apoptotic peptidase activating factor 1,317,UniProt,O14727,https://www.uniprot.org/uniprot/O14727
CASP9 caspase 9,842,NCBI-GeneID,842,https://www.ncbi.nlm.nih.gov/gene/842
CASP9 caspase 9,842,NCBI-ProteinID,NP_001220,https://www.ncbi.nlm.nih.gov/protein/NP_001220
CASP9 caspase 9,842,OMIM,602234,https://omim.org/entry/602234
CASP9 caspase 9,842,HGNC,1511,https://www.genenames.org/tools/search/#!/?query=%201511
CASP9 caspase 9,842,Ensembl,ENSG00000132906,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000132906
CASP9 caspase 9,842,UniProt,P55211,https://www.uniprot.org/uniprot/P55211
CASP3 caspase 3,836,NCBI-GeneID,836,https://www.ncbi.nlm.nih.gov/gene/836
CASP3 caspase 3,836,NCBI-ProteinID,NP_004337,https://www.ncbi.nlm.nih.gov/protein/NP_004337
CASP3 caspase 3,836,OMIM,600636,https://omim.org/entry/600636
CASP3 caspase 3,836,HGNC,1504,https://www.genenames.org/tools/search/#!/?query=%201504
CASP3 caspase 3,836,Ensembl,ENSG00000164305,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000164305
CASP3 caspase 3,836,UniProt,P42574,https://www.uniprot.org/uniprot/P42574
PSEN1 presenilin 1,5663,NCBI-GeneID,5663,https://www.ncbi.nlm.nih.gov/gene/5663
PSEN1 presenilin 1,5663,NCBI-ProteinID,NP_000012,https://www.ncbi.nlm.nih.gov/protein/NP_000012
PSEN1 presenilin 1,5663,OMIM,104311,https://omim.org/entry/104311
PSEN1 presenilin 1,5663,HGNC,9508,https://www.genenames.org/tools/search/#!/?query=%209508
PSEN1 presenilin 1,5663,Ensembl,ENSG00000080815,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000080815
PSEN1 presenilin 1,5663,UniProt,P49768 A0A024R6A3,https://www.uniprot.org/uniprot/P49768; https://www.uniprot.org/uniprot/A0A024R6A3
"ITPR1 inositol 1,4,5-trisphosphate receptor type 1",3708,NCBI-GeneID,3708,https://www.ncbi.nlm.nih.gov/gene/3708
"ITPR1 inositol 1,4,5-trisphosphate receptor type 1",3708,NCBI-ProteinID,NP_001161744,https://www.ncbi.nlm.nih.gov/protein/NP_001161744
"ITPR1 inositol 1,4,5-trisphosphate receptor type 1",3708,OMIM,147265,https://omim.org/entry/147265
"ITPR1 inositol 1,4,5-trisphosphate receptor type 1",3708,HGNC,6180,https://www.genenames.org/tools/search/#!/?query=%206180
"ITPR1 inositol 1,4,5-trisphosphate receptor type 1",3708,Ensembl,ENSG00000150995,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000150995
"ITPR1 inositol 1,4,5-trisphosphate receptor type 1",3708,UniProt,Q14643,https://www.uniprot.org/uniprot/Q14643
"ITPR2 inositol 1,4,5-trisphosphate receptor type 2",3709,NCBI-GeneID,3709,https://www.ncbi.nlm.nih.gov/gene/3709
"ITPR2 inositol 1,4,5-trisphosphate receptor type 2",3709,NCBI-ProteinID,NP_002214,https://www.ncbi.nlm.nih.gov/protein/NP_002214
"ITPR2 inositol 1,4,5-trisphosphate receptor type 2",3709,OMIM,600144,https://omim.org/entry/600144
"ITPR2 inositol 1,4,5-trisphosphate receptor type 2",3709,HGNC,6181,https://www.genenames.org/tools/search/#!/?query=%206181
"ITPR2 inositol 1,4,5-trisphosphate receptor type 2",3709,Ensembl,ENSG00000123104,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000123104
"ITPR2 inositol 1,4,5-trisphosphate receptor type 2",3709,UniProt,Q14571,https://www.uniprot.org/uniprot/Q14571
"ITPR3 inositol 1,4,5-trisphosphate receptor type 3",3710,NCBI-GeneID,3710,https://www.ncbi.nlm.nih.gov/gene/3710
"ITPR3 inositol 1,4,5-trisphosphate receptor type 3",3710,NCBI-ProteinID,NP_002215,https://www.ncbi.nlm.nih.gov/protein/NP_002215
"ITPR3 inositol 1,4,5-trisphosphate receptor type 3",3710,OMIM,147267,https://omim.org/entry/147267
"ITPR3 inositol 1,4,5-trisphosphate receptor type 3",3710,HGNC,6182,https://www.genenames.org/tools/search/#!/?query=%206182
"ITPR3 inositol 1,4,5-trisphosphate receptor type 3",3710,Ensembl,ENSG00000096433,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000096433
"ITPR3 inositol 1,4,5-trisphosphate receptor type 3",3710,UniProt,Q14573 A6H8K3 Q59ES2,https://www.uniprot.org/uniprot/Q14573; https://www.uniprot.org/uniprot/A6H8K3; https://www.uniprot.org/uniprot/Q59ES2
MCU mitochondrial calcium uniporter,90550,NCBI-GeneID,90550,https://www.ncbi.nlm.nih.gov/gene/90550
MCU mitochondrial calcium uniporter,90550,NCBI-ProteinID,NP_612366,https://www.ncbi.nlm.nih.gov/protein/NP_612366
MCU mitochondrial calcium uniporter,90550,OMIM,614197,https://omim.org/entry/614197
MCU mitochondrial calcium uniporter,90550,HGNC,23526,https://www.genenames.org/tools/search/#!/?query=%2023526
MCU mitochondrial calcium uniporter,90550,Ensembl,ENSG00000156026,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000156026
MCU mitochondrial calcium uniporter,90550,UniProt,Q8NE86,https://www.uniprot.org/uniprot/Q8NE86
VDAC1 voltage dependent anion channel 1,7416,NCBI-GeneID,7416,https://www.ncbi.nlm.nih.gov/gene/7416
VDAC1 voltage dependent anion channel 1,7416,NCBI-ProteinID,NP_003365,https://www.ncbi.nlm.nih.gov/protein/NP_003365
VDAC1 voltage dependent anion channel 1,7416,OMIM,604492,https://omim.org/entry/604492
VDAC1 voltage dependent anion channel 1,7416,HGNC,12669,https://www.genenames.org/tools/search/#!/?query=%2012669
VDAC1 voltage dependent anion channel 1,7416,Ensembl,ENSG00000213585,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000213585
VDAC1 voltage dependent anion channel 1,7416,UniProt,P21796 B3KTS5 A0A1L1UHR1,https://www.uniprot.org/uniprot/P21796; https://www.uniprot.org/uniprot/B3KTS5; https://www.uniprot.org/uniprot/A0A1L1UHR1
VDAC2 voltage dependent anion channel 2,7417,NCBI-GeneID,7417,https://www.ncbi.nlm.nih.gov/gene/7417
VDAC2 voltage dependent anion channel 2,7417,NCBI-ProteinID,NP_001171752,https://www.ncbi.nlm.nih.gov/protein/NP_001171752
VDAC2 voltage dependent anion channel 2,7417,OMIM,193245,https://omim.org/entry/193245
VDAC2 voltage dependent anion channel 2,7417,HGNC,12672,https://www.genenames.org/tools/search/#!/?query=%2012672
VDAC2 voltage dependent anion channel 2,7417,Ensembl,ENSG00000165637,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000165637
VDAC2 voltage dependent anion channel 2,7417,UniProt,P45880 A0A024QZT0,https://www.uniprot.org/uniprot/P45880; https://www.uniprot.org/uniprot/A0A024QZT0
VDAC3 voltage dependent anion channel 3,7419,NCBI-GeneID,7419,https://www.ncbi.nlm.nih.gov/gene/7419
VDAC3 voltage dependent anion channel 3,7419,NCBI-ProteinID,NP_005653,https://www.ncbi.nlm.nih.gov/protein/NP_005653
VDAC3 voltage dependent anion channel 3,7419,OMIM,610029,https://omim.org/entry/610029
VDAC3 voltage dependent anion channel 3,7419,HGNC,12674,https://www.genenames.org/tools/search/#!/?query=%2012674
VDAC3 voltage dependent anion channel 3,7419,Ensembl,ENSG00000078668,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000078668
VDAC3 voltage dependent anion channel 3,7419,UniProt,Q9Y277,https://www.uniprot.org/uniprot/Q9Y277
SLC25A4 solute carrier family 25 member 4,291,NCBI-GeneID,291,https://www.ncbi.nlm.nih.gov/gene/291
SLC25A4 solute carrier family 25 member 4,291,NCBI-ProteinID,NP_001142,https://www.ncbi.nlm.nih.gov/protein/NP_001142
SLC25A4 solute carrier family 25 member 4,291,OMIM,103220,https://omim.org/entry/103220
SLC25A4 solute carrier family 25 member 4,291,HGNC,10990,https://www.genenames.org/tools/search/#!/?query=%2010990
SLC25A4 solute carrier family 25 member 4,291,Ensembl,ENSG00000151729,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000151729
SLC25A4 solute carrier family 25 member 4,291,UniProt,P12235 A0A0S2Z3H3,https://www.uniprot.org/uniprot/P12235; https://www.uniprot.org/uniprot/A0A0S2Z3H3
SLC25A5 solute carrier family 25 member 5,292,NCBI-GeneID,292,https://www.ncbi.nlm.nih.gov/gene/292
SLC25A5 solute carrier family 25 member 5,292,NCBI-ProteinID,NP_001143,https://www.ncbi.nlm.nih.gov/protein/NP_001143
SLC25A5 solute carrier family 25 member 5,292,OMIM,300150,https://omim.org/entry/300150
SLC25A5 solute carrier family 25 member 5,292,HGNC,10991,https://www.genenames.org/tools/search/#!/?query=%2010991
SLC25A5 solute carrier family 25 member 5,292,Ensembl,ENSG00000005022,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000005022
SLC25A5 solute carrier family 25 member 5,292,UniProt,P05141 Q6NVC0,https://www.uniprot.org/uniprot/P05141; https://www.uniprot.org/uniprot/Q6NVC0
SLC25A6 solute carrier family 25 member 6,293,NCBI-GeneID,293,https://www.ncbi.nlm.nih.gov/gene/293
SLC25A6 solute carrier family 25 member 6,293,NCBI-ProteinID,NP_001627,https://www.ncbi.nlm.nih.gov/protein/NP_001627
SLC25A6 solute carrier family 25 member 6,293,OMIM,300151 403000,https://omim.org/entry/300151; https://omim.org/entry/403000
SLC25A6 solute carrier family 25 member 6,293,HGNC,10992,https://www.genenames.org/tools/search/#!/?query=%2010992
SLC25A6 solute carrier family 25 member 6,293,Ensembl,ENSG00000169100 ENSG00000292334,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000169100; https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000292334
SLC25A6 solute carrier family 25 member 6,293,UniProt,P12236 Q6I9V5,https://www.uniprot.org/uniprot/P12236; https://www.uniprot.org/uniprot/Q6I9V5
SLC25A31 solute carrier family 25 member 31,83447,NCBI-GeneID,83447,https://www.ncbi.nlm.nih.gov/gene/83447
SLC25A31 solute carrier family 25 member 31,83447,NCBI-ProteinID,NP_112581,https://www.ncbi.nlm.nih.gov/protein/NP_112581
SLC25A31 solute carrier family 25 member 31,83447,OMIM,610796,https://omim.org/entry/610796
SLC25A31 solute carrier family 25 member 31,83447,HGNC,25319,https://www.genenames.org/tools/search/#!/?query=%2025319
SLC25A31 solute carrier family 25 member 31,83447,Ensembl,ENSG00000151475,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000151475
SLC25A31 solute carrier family 25 member 31,83447,UniProt,Q9H0C2,https://www.uniprot.org/uniprot/Q9H0C2
"CYCS cytochrome c, somatic",54205,NCBI-GeneID,54205,https://www.ncbi.nlm.nih.gov/gene/54205
"CYCS cytochrome c, somatic",54205,NCBI-ProteinID,NP_061820,https://www.ncbi.nlm.nih.gov/protein/NP_061820
"CYCS cytochrome c, somatic",54205,OMIM,123970,https://omim.org/entry/123970
"CYCS cytochrome c, somatic",54205,HGNC,19986,https://www.genenames.org/tools/search/#!/?query=%2019986
"CYCS cytochrome c, somatic",54205,Ensembl,ENSG00000172115,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000172115
"CYCS cytochrome c, somatic",54205,UniProt,P99999 G4XXL9,https://www.uniprot.org/uniprot/P99999; https://www.uniprot.org/uniprot/G4XXL9
PSEN1 presenilin 1,5663,NCBI-GeneID,5663,https://www.ncbi.nlm.nih.gov/gene/5663
PSEN1 presenilin 1,5663,NCBI-ProteinID,NP_000012,https://www.ncbi.nlm.nih.gov/protein/NP_000012
PSEN1 presenilin 1,5663,OMIM,104311,https://omim.org/entry/104311
PSEN1 presenilin 1,5663,HGNC,9508,https://www.genenames.org/tools/search/#!/?query=%209508
PSEN1 presenilin 1,5663,Ensembl,ENSG00000080815,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000080815
PSEN1 presenilin 1,5663,UniProt,P49768 A0A024R6A3,https://www.uniprot.org/uniprot/P49768; https://www.uniprot.org/uniprot/A0A024R6A3
PSEN2 presenilin 2,5664,NCBI-GeneID,5664,https://www.ncbi.nlm.nih.gov/gene/5664
PSEN2 presenilin 2,5664,NCBI-ProteinID,NP_000438,https://www.ncbi.nlm.nih.gov/protein/NP_000438
PSEN2 presenilin 2,5664,OMIM,600759,https://omim.org/entry/600759
PSEN2 presenilin 2,5664,HGNC,9509,https://www.genenames.org/tools/search/#!/?query=%209509
