药物,药物编号,药物的链接
Clobazam,D01253,https://www.kegg.jp/entry/D01253
Cyclophosphamide,D00287,https://www.kegg.jp/entry/D00287
Chlorambucil,D00266,https://www.kegg.jp/entry/D00266
Bendamustine hydrochloride,D07085,https://www.kegg.jp/entry/D07085
Fludarabine phosphate,D01907,https://www.kegg.jp/entry/D01907
Ibrutinib,D10223,https://www.kegg.jp/entry/D10223
Acalabrutinib,D10893,https://www.kegg.jp/entry/D10893
Duvelisib hydrate,D11658,https://www.kegg.jp/entry/D11658
Pemigatinib,D11417,https://www.kegg.jp/entry/D11417
Rituximab,D02994,https://www.kegg.jp/entry/D02994
Rituximab and hyaluronidase,D11393,https://www.kegg.jp/entry/D11393
Ofatumumab,D09314,https://www.kegg.jp/entry/D09314
Obinutuzumab,D09321,https://www.kegg.jp/entry/D09321
Alemtuzumab,D02802,https://www.kegg.jp/entry/D02802
Sodium phosphate P 32,D05870,https://www.kegg.jp/entry/D05870
Ibritumomab tiuxetan,D04489,https://www.kegg.jp/entry/D04489
Carmustine,D00254,https://www.kegg.jp/entry/D00254
Lomustine,D00363,https://www.kegg.jp/entry/D00363
Dacarbazine,D00288,https://www.kegg.jp/entry/D00288
Vinblastine sulfate,D01068,https://www.kegg.jp/entry/D01068
Vincristine sulfate,D02197,https://www.kegg.jp/entry/D02197
Doxorubicin hydrochloride,D01275,https://www.kegg.jp/entry/D01275
Bleomycin sulfate,D02177,https://www.kegg.jp/entry/D02177
Nivolumab,D10316,https://www.kegg.jp/entry/D10316
Pembrolizumab,D10574,https://www.kegg.jp/entry/D10574
Procarbazine hydrochloride,D00478,https://www.kegg.jp/entry/D00478
Capecitabine,D01223,https://www.kegg.jp/entry/D01223
Floxuridine,D04197,https://www.kegg.jp/entry/D04197
Tislelizumab,D11487,https://www.kegg.jp/entry/D11487
Porfimer sodium,D03327,https://www.kegg.jp/entry/D03327
Dexamethasone,D00292,https://www.kegg.jp/entry/D00292
Dexamethasone sodium phosphate,D00975,https://www.kegg.jp/entry/D00975
Hydrocortisone,D00088,https://www.kegg.jp/entry/D00088
Hydrocortisone sodium succinate,D00978,https://www.kegg.jp/entry/D00978
Prednisolone,D00472,https://www.kegg.jp/entry/D00472
Prednisolone sodium phosphate,D00981,https://www.kegg.jp/entry/D00981
Prednisone,D00473,https://www.kegg.jp/entry/D00473
Methylprednisolone,D00407,https://www.kegg.jp/entry/D00407
Methylprednisolone sodium succinate,D00751,https://www.kegg.jp/entry/D00751
Methylprednisolone acetate,D00979,https://www.kegg.jp/entry/D00979
Cortisone acetate,D00973,https://www.kegg.jp/entry/D00973
Mechlorethamine hydrochloride,D04872,https://www.kegg.jp/entry/D04872
Methotrexate sodium,D02115,https://www.kegg.jp/entry/D02115
Mogamulizumab,D09761,https://www.kegg.jp/entry/D09761
Bexarotene,D03106,https://www.kegg.jp/entry/D03106
Denileukin diftitox,D03682,https://www.kegg.jp/entry/D03682
Sorafenib tosylate,D06272,https://www.kegg.jp/entry/D06272
Regorafenib hydrate,D10137,https://www.kegg.jp/entry/D10137
Cabozantinib s-malate,D10095,https://www.kegg.jp/entry/D10095
Lenvatinib mesylate,D09920,https://www.kegg.jp/entry/D09920
Durvalumab,D10808,https://www.kegg.jp/entry/D10808
Atezolizumab,D10773,https://www.kegg.jp/entry/D10773
Bevacizumab,D06409,https://www.kegg.jp/entry/D06409
Ramucirumab,D09371,https://www.kegg.jp/entry/D09371
Ipilimumab,D04603,https://www.kegg.jp/entry/D04603
Tremelimumab,D06657,https://www.kegg.jp/entry/D06657
Trifluridine and tipiracil hydrochloride,D10526,https://www.kegg.jp/entry/D10526
Irinotecan hydrochloride,D01061,https://www.kegg.jp/entry/D01061
Fruquintinib,D11977,https://www.kegg.jp/entry/D11977
Cetuximab,D03455,https://www.kegg.jp/entry/D03455
Panitumumab,D05350,https://www.kegg.jp/entry/D05350
Oxaliplatin,D01790,https://www.kegg.jp/entry/D01790
Aflibercept,D09574,https://www.kegg.jp/entry/D09574
Leucovorin calcium,D01211,https://www.kegg.jp/entry/D01211
Levoleucovorin calcium,D04715,https://www.kegg.jp/entry/D04715
Calcium levofolinate hydrate,D11555,https://www.kegg.jp/entry/D11555
Sodium levofolinate,D11394,https://www.kegg.jp/entry/D11394
Thiotepa,D00583,https://www.kegg.jp/entry/D00583
Valrubicin,D02697,https://www.kegg.jp/entry/D02697
Mitomycin,D00208,https://www.kegg.jp/entry/D00208
Erdafitinib,D10927,https://www.kegg.jp/entry/D10927
Avelumab,D10817,https://www.kegg.jp/entry/D10817
Cisplatin,D00275,https://www.kegg.jp/entry/D00275
Nadofaragene firadenovec,D12531,https://www.kegg.jp/entry/D12531
Nogapendekin alfa inbakicept,D12888,https://www.kegg.jp/entry/D12888
Recombinant adsorbed quadrivalent human papillomavirus virus-like particle vaccine,D10192,https://www.kegg.jp/entry/D10192
"Human papillomavirus 9-valent vaccine, recombinant",D11863,https://www.kegg.jp/entry/D11863
Topotecan hydrochloride,D02168,https://www.kegg.jp/entry/D02168
Dabrafenib mesylate,D10104,https://www.kegg.jp/entry/D10104
Trametinib dimethyl sulfoxide,D10176,https://www.kegg.jp/entry/D10176
Selpercatinib,D11713,https://www.kegg.jp/entry/D11713
Pralsetinib,D11712,https://www.kegg.jp/entry/D11712
Sodium iodide I 131,D02259,https://www.kegg.jp/entry/D02259
Thyroid,D06482,https://www.kegg.jp/entry/D06482
Cemiplimab,D11108,https://www.kegg.jp/entry/D11108
Denosumab,D03684,https://www.kegg.jp/entry/D03684
Retifanlimab,D11827,https://www.kegg.jp/entry/D11827
Vandetanib,D06407,https://www.kegg.jp/entry/D06407
Thioguanine,D06109,https://www.kegg.jp/entry/D06109
Cytarabine,D00168,https://www.kegg.jp/entry/D00168
Daunorubicin hydrochloride,D01264,https://www.kegg.jp/entry/D01264
Idarubicin hydrochloride,D01747,https://www.kegg.jp/entry/D01747
Mitoxantrone hydrochloride,D02166,https://www.kegg.jp/entry/D02166
Quizartinib dihydrochloride,D09956,https://www.kegg.jp/entry/D09956
Gilteritinib fumarate,D10800,https://www.kegg.jp/entry/D10800
Gemtuzumab ozogamicin,D03259,https://www.kegg.jp/entry/D03259
Glasdegib maleate,D11107,https://www.kegg.jp/entry/D11107
Enasidenib mesylate,D11044,https://www.kegg.jp/entry/D11044
Ivosidenib,D11090,https://www.kegg.jp/entry/D11090
Daunorubicin and cytarabine,D11390,https://www.kegg.jp/entry/D11390
Sargramostim,D05803,https://www.kegg.jp/entry/D05803
Enocitabine,D01633,https://www.kegg.jp/entry/D01633
Olutasidenib,D12483,https://www.kegg.jp/entry/D12483
Melphalan,D00369,https://www.kegg.jp/entry/D00369
Melphalan hydrochloride,D08173,https://www.kegg.jp/entry/D08173
Melphalan flufenamide hydrochloride,D11870,https://www.kegg.jp/entry/D11870
Daratumumab,D10777,https://www.kegg.jp/entry/D10777
Daratumumab and hyaluronidase,D11967,https://www.kegg.jp/entry/D11967
Isatuximab,D11050,https://www.kegg.jp/entry/D11050
Elotuzumab,D09337,https://www.kegg.jp/entry/D09337
Teclistamab,D12177,https://www.kegg.jp/entry/D12177
Talquetamab,D12180,https://www.kegg.jp/entry/D12180
Bortezomib,D03150,https://www.kegg.jp/entry/D03150
Ixazomib citrate,D10131,https://www.kegg.jp/entry/D10131
Ciltacabtagene autoleucel,D12315,https://www.kegg.jp/entry/D12315
Idecabtagene vicleucel,D11556,https://www.kegg.jp/entry/D11556
Selinexor,D11222,https://www.kegg.jp/entry/D11222
Plerixafor,D08971,https://www.kegg.jp/entry/D08971
Lenalidomide,D04687,https://www.kegg.jp/entry/D04687
Zoledronic acid,D01968,https://www.kegg.jp/entry/D01968
Elranatamab,D12058,https://www.kegg.jp/entry/D12058
Motixafortide acetate,D12282,https://www.kegg.jp/entry/D12282
Pemetrexed sodium hydrate,D06503,https://www.kegg.jp/entry/D06503
Gemcitabine hydrochloride,D01155,https://www.kegg.jp/entry/D01155
Vinorelbine tartrate,D01935,https://www.kegg.jp/entry/D01935
Docetaxel,D07866,https://www.kegg.jp/entry/D07866
Docetaxel,D02165,https://www.kegg.jp/entry/D02165
Gefitinib,D01977,https://www.kegg.jp/entry/D01977
Erlotinib hydrochloride,D04023,https://www.kegg.jp/entry/D04023
Afatinib dimaleate,D09733,https://www.kegg.jp/entry/D09733
Osimertinib mesylate,D10766,https://www.kegg.jp/entry/D10766
Dacomitinib,D10514,https://www.kegg.jp/entry/D10514
Lazertinib mesylate,D12245,https://www.kegg.jp/entry/D12245
Mobocertinib succinate,D11969,https://www.kegg.jp/entry/D11969
Crizotinib,D09731,https://www.kegg.jp/entry/D09731
Ceritinib,D10551,https://www.kegg.jp/entry/D10551
Alectinib hydrochloride,D10450,https://www.kegg.jp/entry/D10450
Brigatinib,D10866,https://www.kegg.jp/entry/D10866
Lorlatinib,D11012,https://www.kegg.jp/entry/D11012
Entrectinib,D10926,https://www.kegg.jp/entry/D10926
Capmatinib hydrochloride,D10891,https://www.kegg.jp/entry/D10891
Tepotinib hydrochloride,D11073,https://www.kegg.jp/entry/D11073
Trastuzumab deruxtecan,D11529,https://www.kegg.jp/entry/D11529
Necitumumab,D10018,https://www.kegg.jp/entry/D10018
Amivantamab,D11894,https://www.kegg.jp/entry/D11894
Repotrectinib,D11454,https://www.kegg.jp/entry/D11454
Trastuzumab,D03257,https://www.kegg.jp/entry/D03257
Olaparib,D09730,https://www.kegg.jp/entry/D09730
Medroxyprogesterone acetate,D00951,https://www.kegg.jp/entry/D00951
Dostarlimab,D11366,https://www.kegg.jp/entry/D11366
Carboplatin,D01363,https://www.kegg.jp/entry/D01363
Niraparib tosylate,D11895,https://www.kegg.jp/entry/D11895
Rucaparib camsylate,D10982,https://www.kegg.jp/entry/D10982
Altretamine,D02841,https://www.kegg.jp/entry/D02841
Alitretinoin,D02815,https://www.kegg.jp/entry/D02815
Interferon alfa-2b,D02745,https://www.kegg.jp/entry/D02745
Infigratinib phosphate,D11611,https://www.kegg.jp/entry/D11611
Futibatinib,D11725,https://www.kegg.jp/entry/D11725
Imatinib mesylate,D01441,https://www.kegg.jp/entry/D01441
Mitotane,D00420,https://www.kegg.jp/entry/D00420
Cobimetinib fumarate,D10615,https://www.kegg.jp/entry/D10615
Nivolumab and relatlimab,D12334,https://www.kegg.jp/entry/D12334
Talimogene laherparepvec,D09966,https://www.kegg.jp/entry/D09966
Lifileucel,D12833,https://www.kegg.jp/entry/D12833
Tebentafusp,D12296,https://www.kegg.jp/entry/D12296
Peginterferon alfa-2b,D02748,https://www.kegg.jp/entry/D02748
Aldesleukin,D00748,https://www.kegg.jp/entry/D00748
Budesonide,D00246,https://www.kegg.jp/entry/D00246
Beclomethasone dipropionate,D00689,https://www.kegg.jp/entry/D00689
Mometasone furoate,D00690,https://www.kegg.jp/entry/D00690
Fluticasone propionate,D01708,https://www.kegg.jp/entry/D01708
Fluticasone furoate,D06315,https://www.kegg.jp/entry/D06315
Dupilumab,D10354,https://www.kegg.jp/entry/D10354
Flunisolide,D00324,https://www.kegg.jp/entry/D00324
Ciclesonide,D01703,https://www.kegg.jp/entry/D01703
Salmeterol xinafoate and fluticasone propionate,D08699,https://www.kegg.jp/entry/D08699
Metaproterenol sulfate,D00685,https://www.kegg.jp/entry/D00685
Terbutaline sulfate,D00688,https://www.kegg.jp/entry/D00688
Salmeterol xinafoate,D00687,https://www.kegg.jp/entry/D00687
Formoterol fumarate,D01373,https://www.kegg.jp/entry/D01373
Budesonide and formoterol fumarate dihydrate,D09595,https://www.kegg.jp/entry/D09595
Mometasone furoate and formoterol fumarate,D10295,https://www.kegg.jp/entry/D10295
Fluticasone furoate and vilanterol trifenatate,D10501,https://www.kegg.jp/entry/D10501
Albuterol and budesonide,D12757,https://www.kegg.jp/entry/D12757
Theophylline,D00371,https://www.kegg.jp/entry/D00371
Aminophylline hydrate,D05429,https://www.kegg.jp/entry/D05429
Aminophylline dihydrate,D11630,https://www.kegg.jp/entry/D11630
Theophylline and dextrose,D10297,https://www.kegg.jp/entry/D10297
Zafirlukast,D00411,https://www.kegg.jp/entry/D00411
Montelukast sodium,D00529,https://www.kegg.jp/entry/D00529
Omalizumab,D05251,https://www.kegg.jp/entry/D05251
Reslizumab,D08985,https://www.kegg.jp/entry/D08985
Mepolizumab,D04923,https://www.kegg.jp/entry/D04923
Benralizumab,D09874,https://www.kegg.jp/entry/D09874
Tezepelumab,D11771,https://www.kegg.jp/entry/D11771
Zileuton,D00414,https://www.kegg.jp/entry/D00414
Corticotropin,D00146,https://www.kegg.jp/entry/D00146
Belimumab,D03068,https://www.kegg.jp/entry/D03068
Anifrolumab,D11082,https://www.kegg.jp/entry/D11082
Hydroxychloroquine sulfate,D02114,https://www.kegg.jp/entry/D02114
Tacrolimus,D00107,https://www.kegg.jp/entry/D00107
Mycophenolate mofetil,D00752,https://www.kegg.jp/entry/D00752
Mycophenolate sodium,D05095,https://www.kegg.jp/entry/D05095
Belatacept,D03222,https://www.kegg.jp/entry/D03222
Basiliximab,D03058,https://www.kegg.jp/entry/D03058
Cyclosporine,D00184,https://www.kegg.jp/entry/D00184
Azathioprine,D00238,https://www.kegg.jp/entry/D00238
Ruxolitinib phosphate,D09960,https://www.kegg.jp/entry/D09960
Abatacept,D03203,https://www.kegg.jp/entry/D03203
Belumosudil mesylate,D11816,https://www.kegg.jp/entry/D11816
Axatilimab,D11952,https://www.kegg.jp/entry/D11952
Doxycycline hyclate,D02129,https://www.kegg.jp/entry/D02129
Doxycycline calcium,D03903,https://www.kegg.jp/entry/D03903
Sulfadiazine,D00587,https://www.kegg.jp/entry/D00587
Chloroquine phosphate,D02125,https://www.kegg.jp/entry/D02125
Primaquine phosphate,D02126,https://www.kegg.jp/entry/D02126
Tafenoquine succinate,D10670,https://www.kegg.jp/entry/D10670
Atovaquone and proguanil hydrochloride,D02472,https://www.kegg.jp/entry/D02472
Quinine sulfate,D02262,https://www.kegg.jp/entry/D02262
Mefloquine hydrochloride,D00831,https://www.kegg.jp/entry/D00831
Pyrimethamine,D00488,https://www.kegg.jp/entry/D00488
Artesunate,D02482,https://www.kegg.jp/entry/D02482
Artemether and lumefantrine,D02484,https://www.kegg.jp/entry/D02484
Ustekinumab,D09214,https://www.kegg.jp/entry/D09214
Risankizumab,D11052,https://www.kegg.jp/entry/D11052
Natalizumab,D06886,https://www.kegg.jp/entry/D06886
Vedolizumab,D08083,https://www.kegg.jp/entry/D08083
Sulfasalazine,D00448,https://www.kegg.jp/entry/D00448
Indomethacin,D00141,https://www.kegg.jp/entry/D00141
Naproxen,D00118,https://www.kegg.jp/entry/D00118
Naproxen sodium,D00970,https://www.kegg.jp/entry/D00970
Methotrexate,D00142,https://www.kegg.jp/entry/D00142
Celecoxib,D00567,https://www.kegg.jp/entry/D00567
Anakinra,D02934,https://www.kegg.jp/entry/D02934
Tocilizumab,D02596,https://www.kegg.jp/entry/D02596
Sarilumab,D10161,https://www.kegg.jp/entry/D10161
Tofacitinib citrate,D09783,https://www.kegg.jp/entry/D09783
Baricitinib,D10308,https://www.kegg.jp/entry/D10308
Upadacitinib hydrate,D11048,https://www.kegg.jp/entry/D11048
Leflunomide,D00749,https://www.kegg.jp/entry/D00749
Diclofenac sodium and misoprostol,D11091,https://www.kegg.jp/entry/D11091
Piroxicam,D00127,https://www.kegg.jp/entry/D00127
Fenoprofen calcium,D00968,https://www.kegg.jp/entry/D00968
Flurbiprofen,D00330,https://www.kegg.jp/entry/D00330
Oxaprozin,D00463,https://www.kegg.jp/entry/D00463
Ibuprofen and famotidine,D11575,https://www.kegg.jp/entry/D11575
Naproxen and esomeprazole magnesium,D11576,https://www.kegg.jp/entry/D11576
Meclofenamate sodium,D00169,https://www.kegg.jp/entry/D00169
Auranofin,D00237,https://www.kegg.jp/entry/D00237
Salsalate,D00428,https://www.kegg.jp/entry/D00428
Lobenzarit sodium,D01808,https://www.kegg.jp/entry/D01808
Canakinumab,D09315,https://www.kegg.jp/entry/D09315
Droxidopa,D01277,https://www.kegg.jp/entry/D01277
Bromocriptine mesylate,D00780,https://www.kegg.jp/entry/D00780
Apomorphine hydrochloride,D02004,https://www.kegg.jp/entry/D02004
Levodopa,D00059,https://www.kegg.jp/entry/D00059
Carbidopa hydrate and levodopa,D00253,https://www.kegg.jp/entry/D00253
"Carbidopa, levodopa and entacapone",D10293,https://www.kegg.jp/entry/D10293
Amantadine hydrochloride,D00777,https://www.kegg.jp/entry/D00777
Ropinirole hydrochloride,D00784,https://www.kegg.jp/entry/D00784
Pramipexole dihydrochloride,D00559,https://www.kegg.jp/entry/D00559
Rotigotine,D05768,https://www.kegg.jp/entry/D05768
Selegiline hydrochloride,D00785,https://www.kegg.jp/entry/D00785
Rasagiline mesylate,D02562,https://www.kegg.jp/entry/D02562
Safinamide mesylate,D10191,https://www.kegg.jp/entry/D10191
Tolcapone,D00786,https://www.kegg.jp/entry/D00786
Entacapone,D00781,https://www.kegg.jp/entry/D00781
Opicapone,D10825,https://www.kegg.jp/entry/D10825
Istradefylline,D04641,https://www.kegg.jp/entry/D04641
Pimavanserin tartrate,D08969,https://www.kegg.jp/entry/D08969
Carbidopa,D00558,https://www.kegg.jp/entry/D00558
Edaravone,D01552,https://www.kegg.jp/entry/D01552
Sodium phenylbutyrate and taurursodiol,D12439,https://www.kegg.jp/entry/D12439
Sunitinib malate,D06402,https://www.kegg.jp/entry/D06402
Avapritinib,D11279,https://www.kegg.jp/entry/D11279
Ripretinib,D11353,https://www.kegg.jp/entry/D11353
Telotristat ethyl,D09974,https://www.kegg.jp/entry/D09974
Octreotide acetate,D06495,https://www.kegg.jp/entry/D06495
Riboflavin 5'-phosphate sodium,D05725,https://www.kegg.jp/entry/D05725
Voretigene neparvovec,D11008,https://www.kegg.jp/entry/D11008
Diphenhydramine hydrochloride,D00669,https://www.kegg.jp/entry/D00669
Trihexyphenidyl hydrochloride,D00787,https://www.kegg.jp/entry/D00787
Biperiden hydrochloride,D02246,https://www.kegg.jp/entry/D02246
Biperiden lactate,D02247,https://www.kegg.jp/entry/D02247
Profenamine hydrochloride,D01118,https://www.kegg.jp/entry/D01118
Benztropine mesylate,D00778,https://www.kegg.jp/entry/D00778
Lanreotide acetate,D04666,https://www.kegg.jp/entry/D04666
Streptozocin,D05932,https://www.kegg.jp/entry/D05932
Lutetium (177Lu) oxodotreotide,D11033,https://www.kegg.jp/entry/D11033
Busulfan,D00248,https://www.kegg.jp/entry/D00248
Dasatinib,D06414,https://www.kegg.jp/entry/D06414
Nilotinib hydrochloride hydrate,D06413,https://www.kegg.jp/entry/D06413
Bosutinib hydrate,D09728,https://www.kegg.jp/entry/D09728
Ponatinib hydrochloride,D09951,https://www.kegg.jp/entry/D09951
Asciminib hydrochloride,D11404,https://www.kegg.jp/entry/D11404
Hydroxyurea,D00341,https://www.kegg.jp/entry/D00341
Omacetaxine mepesuccinate,D08956,https://www.kegg.jp/entry/D08956
Cladribine,D01370,https://www.kegg.jp/entry/D01370
Moxetumomab pasudotox,D09932,https://www.kegg.jp/entry/D09932
Pentostatin,D00155,https://www.kegg.jp/entry/D00155
Epcoritamab,D12368,https://www.kegg.jp/entry/D12368
Etoposide,D00125,https://www.kegg.jp/entry/D00125
Etoposide phosphate,D04107,https://www.kegg.jp/entry/D04107
Lurbinectedin,D11644,https://www.kegg.jp/entry/D11644
Trilaciclib dihydrochloride,D11987,https://www.kegg.jp/entry/D11987
Tarlatamab,D12234,https://www.kegg.jp/entry/D12234
Imiquimod,D02500,https://www.kegg.jp/entry/D02500
Fluoxymesterone,D00327,https://www.kegg.jp/entry/D00327
Methyltestosterone,D00408,https://www.kegg.jp/entry/D00408
Testosterone enanthate,D00958,https://www.kegg.jp/entry/D00958
Epirubicin hydrochloride,D02214,https://www.kegg.jp/entry/D02214
Palbociclib,D10372,https://www.kegg.jp/entry/D10372
Ribociclib succinate,D10979,https://www.kegg.jp/entry/D10979
Abemaciclib,D10688,https://www.kegg.jp/entry/D10688
Lapatinib ditosylate,D04024,https://www.kegg.jp/entry/D04024
Neratinib maleate,D10898,https://www.kegg.jp/entry/D10898
Tucatinib,D11141,https://www.kegg.jp/entry/D11141
Trastuzumab and hyaluronidase,D11560,https://www.kegg.jp/entry/D11560
Pertuzumab,D05446,https://www.kegg.jp/entry/D05446
Margetuximab,D10446,https://www.kegg.jp/entry/D10446
Sacituzumab govitecan,D10985,https://www.kegg.jp/entry/D10985
"Pertuzumab, trastuzumab and hyaluronidase",D11934,https://www.kegg.jp/entry/D11934
Talazoparib tosylate,D10733,https://www.kegg.jp/entry/D10733
Goserelin acetate,D00573,https://www.kegg.jp/entry/D00573
Tamoxifen citrate,D00966,https://www.kegg.jp/entry/D00966
Toremifene citrate,D00967,https://www.kegg.jp/entry/D00967
Fulvestrant,D01161,https://www.kegg.jp/entry/D01161
Elacestrant hydrochloride,D11672,https://www.kegg.jp/entry/D11672
Anastrozole,D00960,https://www.kegg.jp/entry/D00960
Letrozole,D00964,https://www.kegg.jp/entry/D00964
Exemestane,D00963,https://www.kegg.jp/entry/D00963
"Estrogens, esterified",D04071,https://www.kegg.jp/entry/D04071
Letrozole and ribociclib,D11068,https://www.kegg.jp/entry/D11068
Fluorouracil,D00584,https://www.kegg.jp/entry/D00584
Vismodegib,D09992,https://www.kegg.jp/entry/D09992
Sonidegib phosphate,D10729,https://www.kegg.jp/entry/D10729
Temozolomide,D06067,https://www.kegg.jp/entry/D06067
Aminolevulinic acid hydrochloride,D02908,https://www.kegg.jp/entry/D02908
Vorasidenib citrate,D11835,https://www.kegg.jp/entry/D11835
Zanubrutinib,D11422,https://www.kegg.jp/entry/D11422
Pirtobrutinib,D12050,https://www.kegg.jp/entry/D12050
Brexucabtagene autoleucel,D11880,https://www.kegg.jp/entry/D11880
Dactinomycin,D00214,https://www.kegg.jp/entry/D00214
Dinutuximab,D10559,https://www.kegg.jp/entry/D10559
Tafasitamab,D11601,https://www.kegg.jp/entry/D11601
Polatuzumab vedotin,D10761,https://www.kegg.jp/entry/D10761
Loncastuximab tesirine,D11338,https://www.kegg.jp/entry/D11338
Glofitamab,D11833,https://www.kegg.jp/entry/D11833
Lisocabtagene maraleucel,D11990,https://www.kegg.jp/entry/D11990
Nusinersen sodium,D10791,https://www.kegg.jp/entry/D10791
Onasemnogene abeparvovec,D11559,https://www.kegg.jp/entry/D11559
Risdiplam,D11406,https://www.kegg.jp/entry/D11406
Timolol,D00378,https://www.kegg.jp/entry/D00378
Timolol maleate,D00603,https://www.kegg.jp/entry/D00603
Carteolol hydrochloride,D00599,https://www.kegg.jp/entry/D00599
Betaxolol hydrochloride,D00598,https://www.kegg.jp/entry/D00598
Brimonidine tartrate,D02076,https://www.kegg.jp/entry/D02076
Pilocarpine hydrochloride,D02200,https://www.kegg.jp/entry/D02200
Echothiophate iodide,D02193,https://www.kegg.jp/entry/D02193
Acetazolamide,D00218,https://www.kegg.jp/entry/D00218
Acetazolamide sodium,D01196,https://www.kegg.jp/entry/D01196
Dorzolamide hydrochloride,D00653,https://www.kegg.jp/entry/D00653
Brinzolamide,D00652,https://www.kegg.jp/entry/D00652
Methazolamide,D00655,https://www.kegg.jp/entry/D00655
Brinzolamide and brimonidine tartrate,D10854,https://www.kegg.jp/entry/D10854
Levobunolol hydrochloride,D01025,https://www.kegg.jp/entry/D01025
Metipranolol,D02374,https://www.kegg.jp/entry/D02374
