疾病通路的编号,疾病名称,通路名称(Name),通路编号(Entry),文章引用（Title）,文章DOI,文章链接
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,N01001,Dysregulation of Intracellular Calcium Signaling in Alzheimer's Disease.,10.1016/j.mcn.2019.103414,https://doi.org/10.1016/j.mcn.2019.103414
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,N01001,Mitochondrial Ca2+ overload underlies Abeta oligomers neurotoxicity providing an unexpected mechanism of neuroprotection by NSAIDs.,10.1016/j.mcn.2019.103414,https://doi.org/10.1016/j.mcn.2019.103414
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,N01004,Dysregulation of Intracellular Calcium Signaling in Alzheimer's Disease.,10.1089/ars.2018.7506,https://doi.org/10.1089/ars.2018.7506
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,N01006,Killing Me Softly: Connotations to Unfolded Protein Response and Oxidative Stress in Alzheimer's Disease.,10.1155/2016/1805304,https://doi.org/10.1155/2016/1805304
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,N01006,Calcium channel blockers and Alzheimer's disease.,10.1155/2016/1805304,https://doi.org/10.1155/2016/1805304
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,N01006,Mitochondrial permeability transition pore in Alzheimer's disease: cyclophilin D and amyloid beta.,10.1155/2016/1805304,https://doi.org/10.1155/2016/1805304
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to transport of calcium,N01003,Mitochondrial Ca2+ overload underlies Abeta oligomers neurotoxicity providing an unexpected mechanism of neuroprotection by NSAIDs.,10.1371/journal.pone.0002718,https://doi.org/10.1371/journal.pone.0002718
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to transport of calcium,N01003,Dysregulation of Intracellular Calcium Signaling in Alzheimer's Disease.,10.1371/journal.pone.0002718,https://doi.org/10.1371/journal.pone.0002718
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,N01060,A common mechanism of proteasome impairment by neurodegenerative disease-associated oligomers.,10.1038/s41467-018-03509-0,https://doi.org/10.1038/s41467-018-03509-0
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,N01060,Could a Common Mechanism of Protein Degradation Impairment Underlie Many Neurodegenerative Diseases?,10.1038/s41467-018-03509-0,https://doi.org/10.1038/s41467-018-03509-0
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,N01060,It Is All about (U)biquitin: Role of Altered Ubiquitin-Proteasome System and UCHL1 in Alzheimer Disease.,10.1038/s41467-018-03509-0,https://doi.org/10.1038/s41467-018-03509-0
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to PERK-ATF4 signaling pathway,N01010,Role of Endoplasmic Reticulum Stress and Unfolded Protein Responses in Health and Diseases.,10.1007/s12291-015-0502-4,https://doi.org/10.1007/s12291-015-0502-4
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to PERK-ATF4 signaling pathway,N01010,Disturbed activation of endoplasmic reticulum stress transducers by familial Alzheimer's disease-linked presenilin-1 mutations.,10.1007/s12291-015-0502-4,https://doi.org/10.1007/s12291-015-0502-4
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to PERK-ATF4 signaling pathway,N01010,Endoplasmic reticulum stress and inflammation in the central nervous system.,10.1007/s12291-015-0502-4,https://doi.org/10.1007/s12291-015-0502-4
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to IRE1a-XBP1 signaling pathway,N01012,Role of Endoplasmic Reticulum Stress and Unfolded Protein Responses in Health and Diseases.,10.1007/s12291-015-0502-4,https://doi.org/10.1007/s12291-015-0502-4
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to IRE1a-XBP1 signaling pathway,N01012,Disturbed activation of endoplasmic reticulum stress transducers by familial Alzheimer's disease-linked presenilin-1 mutations.,10.1007/s12291-015-0502-4,https://doi.org/10.1007/s12291-015-0502-4
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to IRE1a-XBP1 signaling pathway,N01012,The role of endoplasmic reticulum stress in neurodegenerative disease.,10.1007/s12291-015-0502-4,https://doi.org/10.1007/s12291-015-0502-4
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to IRE1a-XBP1 signaling pathway,N01012,Endoplasmic reticulum stress and inflammation in the central nervous system.,10.1007/s12291-015-0502-4,https://doi.org/10.1007/s12291-015-0502-4
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to IRE1a-JNK signaling pathway,N01014,Endoplasmic reticulum dysfunction in Alzheimer's disease.,10.1007/s12035-014-8695-8,https://doi.org/10.1007/s12035-014-8695-8
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to IRE1a-JNK signaling pathway,N01014,Apoptosis signal regulating kinase 1 (ASK1): potential as a therapeutic target for Alzheimer's disease.,10.1007/s12035-014-8695-8,https://doi.org/10.1007/s12035-014-8695-8
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to ATF6-mediated transcription,N01016,Disturbed activation of endoplasmic reticulum stress transducers by familial Alzheimer's disease-linked presenilin-1 mutations.,10.1074/jbc.M104096200,https://doi.org/10.1074/jbc.M104096200
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to ATF6-mediated transcription,N01016,Induction of neuronal death by ER stress in Alzheimer's disease.,10.1074/jbc.M104096200,https://doi.org/10.1074/jbc.M104096200
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to crosstalk between extrinsic and intrinsic apoptotic pathways,N01005,Alzheimer's disease and Abeta toxicity: from top to bottom.,10.1038/35086072,https://doi.org/10.1038/35086072
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to crosstalk between extrinsic and intrinsic apoptotic pathways,N01005,Distinct destructive signal pathways of neuronal death in Alzheimer's disease.,10.1038/35086072,https://doi.org/10.1038/35086072
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to crosstalk between extrinsic and intrinsic apoptotic pathways,N01005,Neuronal apoptosis induced by beta-amyloid is mediated by caspase-8.,10.1038/35086072,https://doi.org/10.1038/35086072
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to AGE-RAGE signaling pathway,N00996,Alzheimer's disease and Abeta toxicity: from top to bottom.,10.1038/35086072,https://doi.org/10.1038/35086072
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to AGE-RAGE signaling pathway,N00996,Advanced glycation endproducts and their receptor RAGE in Alzheimer's disease.,10.1038/35086072,https://doi.org/10.1038/35086072
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to AGE-RAGE signaling pathway,N00996,"MAPK, beta-amyloid and synaptic dysfunction: the role of RAGE.",10.1038/35086072,https://doi.org/10.1038/35086072
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to AGE-RAGE signaling pathway,N00996,Abeta-dependent Inhibition of LTP in different intracortical circuits of the visual cortex: the role of RAGE.,10.1038/35086072,https://doi.org/10.1038/35086072
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to electron transfer in Complex I,N00997,Reelin: Neurodevelopmental Architect and Homeostatic Regulator of Excitatory Synapses.,10.1074/jbc.R116.766782,https://doi.org/10.1074/jbc.R116.766782
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to electron transfer in Complex I,N00997,Amyloid-beta oligomers synaptotoxicity: The emerging role of EphA4/c-Abl signaling in Alzheimer's disease.,10.1074/jbc.R116.766782,https://doi.org/10.1074/jbc.R116.766782
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to electron transfer in Complex I,N00997,Mitochondrial dysfunction in sporadic and genetic Alzheimer's disease.,10.1074/jbc.R116.766782,https://doi.org/10.1074/jbc.R116.766782
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to electron transfer in Complex I,N00997,Mitochondrial Dysfunction and Biogenesis in Neurodegenerative diseases: Pathogenesis and Treatment.,10.1074/jbc.R116.766782,https://doi.org/10.1074/jbc.R116.766782
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to electron transfer in Complex I,N00997,Deregulated Cdk5 activity is involved in inducing Alzheimer's disease.,10.1074/jbc.R116.766782,https://doi.org/10.1074/jbc.R116.766782
hsa05012,Parkinson disease,Manganese to electron transfer in Complex II,N01402,New Insights on the Role of Manganese in Alzheimer's Disease and Parkinson's Disease.,10.3390/ijerph16193546,https://doi.org/10.3390/ijerph16193546
hsa05012,Parkinson disease,Manganese to electron transfer in Complex II,N01402,"An analysis of the effects of Mn2+ on oxidative phosphorylation in liver, brain, and heart mitochondria using state 3 oxidation rate assays.",10.3390/ijerph16193546,https://doi.org/10.3390/ijerph16193546
hsa05012,Parkinson disease,Manganese to electron transfer in Complex II,N01402,Manganese ions induce H2O2 generation at the ubiquinone binding site of mitochondrial complex II.,10.3390/ijerph16193546,https://doi.org/10.3390/ijerph16193546
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to electron transfer in Complex IV,N00999,Mitochondrial dysfunction in sporadic and genetic Alzheimer's disease.,10.1016/j.exger.2006.03.012,https://doi.org/10.1016/j.exger.2006.03.012
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to electron transfer in Complex IV,N00999,Mitochondrial Dysfunction and Biogenesis in Neurodegenerative diseases: Pathogenesis and Treatment.,10.1016/j.exger.2006.03.012,https://doi.org/10.1016/j.exger.2006.03.012
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to electron transfer in Complex IV,N00999,Mitochondrial dysfunction and oxidative stress in neurodegenerative diseases.,10.1016/j.exger.2006.03.012,https://doi.org/10.1016/j.exger.2006.03.012
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to electron transfer in Complex IV,N00999,Proteomic analysis of mitochondrial dysfunction in neurodegenerative diseases.,10.1016/j.exger.2006.03.012,https://doi.org/10.1016/j.exger.2006.03.012
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to anterograde axonal transport,N01017,Alzheimer's presenilin 1 mutations impair kinesin-based axonal transport.,10.1523/JNEUROSCI.23-11-04499.2003,https://doi.org/10.1523/JNEUROSCI.23-11-04499.2003
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to anterograde axonal transport,N01017,Axonal transport defects: a common theme in neurodegenerative diseases.,10.1523/JNEUROSCI.23-11-04499.2003,https://doi.org/10.1523/JNEUROSCI.23-11-04499.2003
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to anterograde axonal transport,N01017,Presenilin influences glycogen synthase kinase-3 beta (GSK-3beta) for kinesin-1 and dynein function during axonal transport.,10.1523/JNEUROSCI.23-11-04499.2003,https://doi.org/10.1523/JNEUROSCI.23-11-04499.2003
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to anterograde axonal transport,N01017,Axonal transport defects in Alzheimer's disease.,10.1523/JNEUROSCI.23-11-04499.2003,https://doi.org/10.1523/JNEUROSCI.23-11-04499.2003
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to anterograde axonal transport,N01018,Reelin: Neurodevelopmental Architect and Homeostatic Regulator of Excitatory Synapses.,10.1074/jbc.R116.766782,https://doi.org/10.1074/jbc.R116.766782
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to anterograde axonal transport,N01018,Amyloid-beta oligomers synaptotoxicity: The emerging role of EphA4/c-Abl signaling in Alzheimer's disease.,10.1074/jbc.R116.766782,https://doi.org/10.1074/jbc.R116.766782
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to anterograde axonal transport,N01018,Axonal transport defects in Alzheimer's disease.,10.1074/jbc.R116.766782,https://doi.org/10.1074/jbc.R116.766782
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to anterograde axonal transport,N01018,"Abeta oligomers cause localized Ca(2+) elevation, missorting of endogenous Tau into dendrites, Tau phosphorylation, and destruction of microtubules and spines.",10.1074/jbc.R116.766782,https://doi.org/10.1074/jbc.R116.766782
hsa05010,Alzheimer disease,Zn to anterograde axonal transport,N01403,Biometal Dyshomeostasis and Toxic Metal Accumulations in the Development of Alzheimer's Disease.,10.3389/fnmol.2017.00339,https://doi.org/10.3389/fnmol.2017.00339
hsa05010,Alzheimer disease,Zn to anterograde axonal transport,N01403,Current understanding of metal ions in the pathogenesis of Alzheimer's disease.,10.3389/fnmol.2017.00339,https://doi.org/10.3389/fnmol.2017.00339
hsa05010,Alzheimer disease,Zn to anterograde axonal transport,N01403,Axonal transport defects in Alzheimer's disease.,10.3389/fnmol.2017.00339,https://doi.org/10.3389/fnmol.2017.00339
hsa05010,Alzheimer disease,Zn to anterograde axonal transport,N01403,Tau hyperphosphorylation induces apoptotic escape and triggers neurodegeneration in Alzheimer's disease.,10.3389/fnmol.2017.00339,https://doi.org/10.3389/fnmol.2017.00339
hsa05010,Alzheimer disease,Iron to anterograde axonal transport,N01414,Biometal Dyshomeostasis and Toxic Metal Accumulations in the Development of Alzheimer's Disease.,10.3389/fnmol.2017.00339,https://doi.org/10.3389/fnmol.2017.00339
hsa05010,Alzheimer disease,Iron to anterograde axonal transport,N01414,Current understanding of metal ions in the pathogenesis of Alzheimer's disease.,10.3389/fnmol.2017.00339,https://doi.org/10.3389/fnmol.2017.00339
hsa05010,Alzheimer disease,Iron to anterograde axonal transport,N01414,Axonal transport defects in Alzheimer's disease.,10.3389/fnmol.2017.00339,https://doi.org/10.3389/fnmol.2017.00339
hsa05010,Alzheimer disease,Iron to anterograde axonal transport,N01414,Deferoxamine inhibits iron induced hippocampal tau phosphorylation in the Alzheimer transgenic mouse brain.,10.3389/fnmol.2017.00339,https://doi.org/10.3389/fnmol.2017.00339
hsa05010,Alzheimer disease,Iron to anterograde axonal transport,N01414,Tau hyperphosphorylation induces apoptotic escape and triggers neurodegeneration in Alzheimer's disease.,10.3389/fnmol.2017.00339,https://doi.org/10.3389/fnmol.2017.00339
hsa05010,Alzheimer disease,Mercury to NEP-mediated Abeta degradation,N01416,Mercury Reduces the Enzymatic Activity of Neprilysin in Differentiated SH-SY5Y Cells.,10.1093/toxsci/kfv037,https://doi.org/10.1093/toxsci/kfv037
hsa05010,Alzheimer disease,Mercury to NEP-mediated Abeta degradation,N01416,Environmental pollutants as risk factors for neurodegenerative disorders: Alzheimer and Parkinson diseases.,10.1093/toxsci/kfv037,https://doi.org/10.1093/toxsci/kfv037
hsa05010,Alzheimer disease,Mercury to NEP-mediated Abeta degradation,N01416,Emerging risk of environmental factors: insight mechanisms of Alzheimer's diseases.,10.1093/toxsci/kfv037,https://doi.org/10.1093/toxsci/kfv037
hsa05012,Parkinson disease,Mutation-inactivated PRKN to mGluR1 signaling pathway,N01032,Calcium signaling in Parkinson's disease.,10.1007/s00441-014-1866-0,https://doi.org/10.1007/s00441-014-1866-0
hsa05012,Parkinson disease,Mutation-inactivated PRKN to mGluR1 signaling pathway,N01032,Parkin deficiency disrupts calcium homeostasis by modulating phospholipase C signalling.,10.1007/s00441-014-1866-0,https://doi.org/10.1007/s00441-014-1866-0
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to VGCC-Ca2+ -apoptotic pathway,N01031,Calcium signaling and neurodegenerative diseases.,10.1016/j.molmed.2009.01.001,https://doi.org/10.1016/j.molmed.2009.01.001
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to VGCC-Ca2+ -apoptotic pathway,N01031,The role of Ca(2+) signaling in Parkinson's disease.,10.1016/j.molmed.2009.01.001,https://doi.org/10.1016/j.molmed.2009.01.001
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to VGCC-Ca2+ -apoptotic pathway,N01031,Calcium signaling in Parkinson's disease.,10.1016/j.molmed.2009.01.001,https://doi.org/10.1016/j.molmed.2009.01.001
hsa05012,Parkinson disease,Mutation-inactivated PRKN to Parkin-mediated ubiquitination,N01020,Ubiquitination of a new form of alpha-synuclein by parkin from human brain: implications for Parkinson's disease.,10.1126/science.1060627,https://doi.org/10.1126/science.1060627
hsa05012,Parkinson disease,Mutation-inactivated PRKN to Parkin-mediated ubiquitination,N01020,Part I: parkin-associated proteins and Parkinson's disease.,10.1126/science.1060627,https://doi.org/10.1126/science.1060627
hsa05012,Parkinson disease,Mutation-inactivated PRKN to Parkin-mediated ubiquitination,N01022,Parkin suppresses unfolded protein stress-induced cell death through its E3 ubiquitin-protein ligase activity.,10.1074/jbc.C000447200,https://doi.org/10.1074/jbc.C000447200
hsa05012,Parkinson disease,Mutation-inactivated PRKN to Parkin-mediated ubiquitination,N01022,Part I: parkin-associated proteins and Parkinson's disease.,10.1074/jbc.C000447200,https://doi.org/10.1074/jbc.C000447200
hsa05012,Parkinson disease,Mutation-inactivated PRKN to Parkin-mediated ubiquitination,N01022,Endoplasmic reticulum stress and Parkinson's disease: the role of HRD1 in averting apoptosis in neurodegenerative disease.,10.1074/jbc.C000447200,https://doi.org/10.1074/jbc.C000447200
hsa05012,Parkinson disease,Mutation-inactivated PRKN to Parkin-mediated ubiquitination,N01024,"Parkin functions as an E2-dependent ubiquitin- protein ligase and promotes the degradation of the synaptic vesicle-associated protein, CDCrel-1.",10.1073/pnas.240347797,https://doi.org/10.1073/pnas.240347797
hsa05012,Parkinson disease,Mutation-inactivated PRKN to Parkin-mediated ubiquitination,N01024,Part I: parkin-associated proteins and Parkinson's disease.,10.1073/pnas.240347797,https://doi.org/10.1073/pnas.240347797
hsa05012,Parkinson disease,Mutation-inactivated PRKN to Parkin-mediated ubiquitination,N01026,"Parkin ubiquitinates the alpha-synuclein-interacting protein, synphilin-1: implications for Lewy-body formation in Parkinson disease.",10.1038/nm1001-1144,https://doi.org/10.1038/nm1001-1144
hsa05012,Parkinson disease,Mutation-inactivated PRKN to Parkin-mediated ubiquitination,N01026,Part I: parkin-associated proteins and Parkinson's disease.,10.1038/nm1001-1144,https://doi.org/10.1038/nm1001-1144
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to 26S proteasome-mediated protein degradation,N01030,Expanding insights of mitochondrial dysfunction in Parkinson's disease.,10.1038/nrn1868,https://doi.org/10.1038/nrn1868
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to 26S proteasome-mediated protein degradation,N01030,The Proteasome Inhibition Model of Parkinson's Disease.,10.1038/nrn1868,https://doi.org/10.1038/nrn1868
hsa05012,Parkinson disease,Mutation-inactivated UCHL1 to UCHL1-mediated hydrolysis,N01028,Alterations of structure and hydrolase activity of parkinsonism-associated human ubiquitin carboxyl-terminal hydrolase L1 variants.,10.1016/s0006-291x(03)00555-2,https://doi.org/10.1016/s0006-291x(03)00555-2
hsa05012,Parkinson disease,Mutation-inactivated UCHL1 to UCHL1-mediated hydrolysis,N01028,Dysregulation of Ubiquitin-Proteasome System in Neurodegenerative Diseases.,10.1016/s0006-291x(03)00555-2,https://doi.org/10.1016/s0006-291x(03)00555-2
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to PERK-ATF4 signaling pathway,N01035,An ERcentric view of Parkinson's disease.,10.1016/j.molmed.2012.12.005,https://doi.org/10.1016/j.molmed.2012.12.005
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to PERK-ATF4 signaling pathway,N01035,ER stress and Parkinson's disease: Pathological inputs that converge into the secretory pathway.,10.1016/j.molmed.2012.12.005,https://doi.org/10.1016/j.molmed.2012.12.005
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to PERK-ATF4 signaling pathway,N01035,Modulation of endoplasmic reticulum stress in Parkinson's disease.,10.1016/j.molmed.2012.12.005,https://doi.org/10.1016/j.molmed.2012.12.005
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to PERK-ATF4 signaling pathway,N01035,Oxyresveratrol exerts ATF4- and Grp78-mediated neuroprotection against endoplasmic reticulum stress in experimental Parkinson's disease.,10.1016/j.molmed.2012.12.005,https://doi.org/10.1016/j.molmed.2012.12.005
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to IRE1a-XBP1 signaling pathway,N01034,An ERcentric view of Parkinson's disease.,10.1016/j.molmed.2012.12.005,https://doi.org/10.1016/j.molmed.2012.12.005
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to IRE1a-XBP1 signaling pathway,N01034,ER stress and Parkinson's disease: Pathological inputs that converge into the secretory pathway.,10.1016/j.molmed.2012.12.005,https://doi.org/10.1016/j.molmed.2012.12.005
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to IRE1a-XBP1 signaling pathway,N01034,Modulation of endoplasmic reticulum stress in Parkinson's disease.,10.1016/j.molmed.2012.12.005,https://doi.org/10.1016/j.molmed.2012.12.005
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to IRE1a-XBP1 signaling pathway,N01034,Oxyresveratrol exerts ATF4- and Grp78-mediated neuroprotection against endoplasmic reticulum stress in experimental Parkinson's disease.,10.1016/j.molmed.2012.12.005,https://doi.org/10.1016/j.molmed.2012.12.005
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to ATF6-mediated transcription,N01033,An ERcentric view of Parkinson's disease.,10.1016/j.molmed.2012.12.005,https://doi.org/10.1016/j.molmed.2012.12.005
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to ATF6-mediated transcription,N01033,ER stress and Parkinson's disease: Pathological inputs that converge into the secretory pathway.,10.1016/j.molmed.2012.12.005,https://doi.org/10.1016/j.molmed.2012.12.005
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to ATF6-mediated transcription,N01033,Modulation of endoplasmic reticulum stress in Parkinson's disease.,10.1016/j.molmed.2012.12.005,https://doi.org/10.1016/j.molmed.2012.12.005
hsa05012,Parkinson disease,Mutation-caused aberrant SNCA to ATF6-mediated transcription,N01033,Oxyresveratrol exerts ATF4- and Grp78-mediated neuroprotection against endoplasmic reticulum stress in experimental Parkinson's disease.,10.1016/j.molmed.2012.12.005,https://doi.org/10.1016/j.molmed.2012.12.005
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to PINK1-Parkin-mediated MFN2 degradation,N01053,Mutations in PINK1 and Parkin impair ubiquitination of Mitofusins in human fibroblasts.,10.1371/journal.pone.0016746,https://doi.org/10.1371/journal.pone.0016746
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to PINK1-Parkin-mediated MFN2 degradation,N01053,"Parkinson's disease and cancer: two wars, one front.",10.1371/journal.pone.0016746,https://doi.org/10.1371/journal.pone.0016746
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to PINK1-Parkin-mediated MFN2 degradation,N01053,"PINK1, Parkin, and Mitochondrial Quality Control: What can we Learn about Parkinson's Disease Pathobiology?",10.1371/journal.pone.0016746,https://doi.org/10.1371/journal.pone.0016746
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to PINK1-Parkin-mediated MFN2 degradation,N01053,Heterozygous PINK1 p.G411S increases risk of Parkinson's disease via a dominant-negative mechanism.,10.1371/journal.pone.0016746,https://doi.org/10.1371/journal.pone.0016746
hsa05012,Parkinson disease,Mutation-inactivated PRKN to PINK1-Parkin-mediated MFN2 degradation,N01054,Mutations in PINK1 and Parkin impair ubiquitination of Mitofusins in human fibroblasts.,10.1371/journal.pone.0016746,https://doi.org/10.1371/journal.pone.0016746
hsa05012,Parkinson disease,Mutation-inactivated PRKN to PINK1-Parkin-mediated MFN2 degradation,N01054,"Parkinson's disease and cancer: two wars, one front.",10.1371/journal.pone.0016746,https://doi.org/10.1371/journal.pone.0016746
hsa05012,Parkinson disease,Mutation-inactivated DJ1 to intrinsic apoptotic pathway,N01051,Role of DJ-1 in the mechanism of pathogenesis of Parkinson's disease.,10.1007/s10863-019-09798-4,https://doi.org/10.1007/s10863-019-09798-4
hsa05012,Parkinson disease,Mutation-inactivated DJ1 to intrinsic apoptotic pathway,N01051,Structural basis for the interaction between DJ-1 and Bcl-XL.,10.1007/s10863-019-09798-4,https://doi.org/10.1007/s10863-019-09798-4
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to intrinsic apoptotic pathway,N01050,PINK1 mutants associated with recessive Parkinson's disease are defective in inhibiting mitochondrial release of cytochrome c.,10.1016/j.nbd.2007.07.010,https://doi.org/10.1016/j.nbd.2007.07.010
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to intrinsic apoptotic pathway,N01050,The Parkinson Disease Mitochondrial Hypothesis: Where Are We at?,10.1016/j.nbd.2007.07.010,https://doi.org/10.1016/j.nbd.2007.07.010
hsa05012,Parkinson disease,Mutation-inactivated PINK1 to intrinsic apoptotic pathway,N01050,Mitochondrial dysfunction in Parkinson's disease.,10.1016/j.nbd.2007.07.010,https://doi.org/10.1016/j.nbd.2007.07.010
hsa05012,Parkinson disease,Mutation-inactivated PRKN to intrinsic apoptotic pathway,N01049,Inhibition of apoptotic Bax translocation to the mitochondria is a central function of parkin.,10.1038/cddis.2014.278,https://doi.org/10.1038/cddis.2014.278
