涉及疾病,涉及疾病的编号,网络,网络ID
Autosomal dominant intellectual developmental disorder,H00773,Calcium signaling,nt06528
Autosomal dominant intellectual developmental disorder,H00773,PI3K signaling,nt06530
Neurodevelopmental disorder with glutamatergic synapse dysfunction,H02705,Calcium signaling,nt06528
Landau-Kleffner syndrome,H01514,Calcium signaling,nt06528
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Autosomal dominant intellectual developmental disorder,H00773,Chromosome cohesion and segregation,nt06512
Autosomal dominant intellectual developmental disorder,H00773,Regulation of kinetochore-microtubule interactions,nt06515
Autosomal dominant intellectual developmental disorder,H00773,Epigenetic regulation by Polycomb complexes,nt06523
Autosomal dominant intellectual developmental disorder,H00773,Calcium signaling,nt06528
Autosomal dominant intellectual developmental disorder,H00773,PI3K signaling,nt06530
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,nt06504
Mitochondrial DNA depletion syndrome,H00469,Mitophagy,nt06536
Progressive external ophthalmoplegia,H01118,Base excision repair,nt06504
Progressive external ophthalmoplegia,H01118,DNA replication,nt06509
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Alzheimer disease,H00056,Alzheimer disease,nt06460
Alzheimer disease,H00056,Pathways of neurodegeneration,nt06466
Alzheimer disease,H00056,Unfolded protein response,nt06534
Alzheimer disease,H00056,Efferocytosis,nt06535
Myocardial infarction,H01730,Coagulation cascade,nt06514
Alzheimer disease,H00056,Alzheimer disease,nt06460
Alzheimer disease,H00056,Pathways of neurodegeneration,nt06466
Alzheimer disease,H00056,Unfolded protein response,nt06534
Alzheimer disease,H00056,Efferocytosis,nt06535
Dilated cardiomyopathy,H00294,Calcium signaling,nt06528
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,nt06539
Acne inversa,H00681,NOTCH signaling,nt06511
Alzheimer disease,H00056,Alzheimer disease,nt06460
Alzheimer disease,H00056,Pathways of neurodegeneration,nt06466
Alzheimer disease,H00056,Unfolded protein response,nt06534
Alzheimer disease,H00056,Efferocytosis,nt06535
Dilated cardiomyopathy,H00294,Calcium signaling,nt06528
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,nt06539
Acne inversa,H00681,NOTCH signaling,nt06511
Alzheimer disease,H00056,Alzheimer disease,nt06460
Alzheimer disease,H00056,Pathways of neurodegeneration,nt06466
Alzheimer disease,H00056,Unfolded protein response,nt06534
Alzheimer disease,H00056,Efferocytosis,nt06535
Alzheimer disease,H00056,Alzheimer disease,nt06460
Alzheimer disease,H00056,Pathways of neurodegeneration,nt06466
Alzheimer disease,H00056,Unfolded protein response,nt06534
Alzheimer disease,H00056,Efferocytosis,nt06535
Dilated cardiomyopathy,H00294,Calcium signaling,nt06528
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,nt06539
Acne inversa,H00681,NOTCH signaling,nt06511
Alzheimer disease,H00056,Alzheimer disease,nt06460
Alzheimer disease,H00056,Pathways of neurodegeneration,nt06466
Alzheimer disease,H00056,Unfolded protein response,nt06534
Alzheimer disease,H00056,Efferocytosis,nt06535
Chronic lymphocytic leukemia,H00005,Double-strand break repair,nt06506
Hodgkin lymphoma,H00007,TNF signaling,nt06516
Hodgkin lymphoma,H00007,TLR signaling,nt06517
Hodgkin lymphoma,H00007,JAK-STAT signaling,nt06518
Hodgkin lymphoma,H00007,RLR signaling,nt06519
Hodgkin lymphoma,H00007,Apoptosis,nt06524
Hodgkin lymphoma,H00007,TCR/BCR signaling,nt06537
Adult T-cell leukemia,H00009,Human T-cell leukemia virus 1 (HTLV-1),nt06160
Adult T-cell leukemia,H00009,TGFB signaling,nt06507
Adult T-cell leukemia,H00009,TNF signaling,nt06516
Adult T-cell leukemia,H00009,JAK-STAT signaling,nt06518
Adult T-cell leukemia,H00009,TCR/BCR signaling,nt06537
Autoimmune lymphoproliferative syndromes,H00108,Apoptosis,nt06524
Autoimmune lymphoproliferative syndromes,H00108,Necroptosis,nt06527
Autoimmune lymphoproliferative syndromes,H00108,TCR/BCR signaling,nt06537
Disorders of innate immunity,H02525,DNA replication,nt06509
Disorders of innate immunity,H02525,TNF signaling,nt06516
Disorders of innate immunity,H02525,JAK-STAT signaling,nt06518
Disorders of innate immunity,H02525,RLR signaling,nt06519
Disorders of innate immunity,H02525,Necroptosis,nt06527
Hepatocellular carcinoma,H00048,Hepatitis B virus (HBV),nt06162
Hepatocellular carcinoma,H00048,Hepatitis C virus (HCV),nt06163
Hepatocellular carcinoma,H00048,Hepatocellular carcinoma,nt06263
Hepatocellular carcinoma,H00048,WNT signaling,nt06505
Hepatocellular carcinoma,H00048,TGFB signaling,nt06507
Hepatocellular carcinoma,H00048,TNF signaling,nt06516
Hepatocellular carcinoma,H00048,TLR signaling,nt06517
Hepatocellular carcinoma,H00048,JAK-STAT signaling,nt06518
Hepatocellular carcinoma,H00048,RLR signaling,nt06519
Hepatocellular carcinoma,H00048,NLR signaling,nt06521
Hepatocellular carcinoma,H00048,Apoptosis,nt06524
Hepatocellular carcinoma,H00048,Calcium signaling,nt06528
Autoimmune lymphoproliferative syndromes,H00108,Apoptosis,nt06524
Autoimmune lymphoproliferative syndromes,H00108,Necroptosis,nt06527
Autoimmune lymphoproliferative syndromes,H00108,TCR/BCR signaling,nt06537
Colorectal cancer,H00020,Colorectal cancer,nt06260
Colorectal cancer,H00020,Mismatch repair,nt06503
Colorectal cancer,H00020,WNT signaling,nt06505
Colorectal cancer,H00020,TGFB signaling,nt06507
Colorectal cancer,H00020,Regulation of kinetochore-microtubule interactions,nt06515
Colorectal cancer,H00020,Apoptosis,nt06524
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Alzheimer disease,H00056,Alzheimer disease,nt06460
Alzheimer disease,H00056,Pathways of neurodegeneration,nt06466
Alzheimer disease,H00056,Unfolded protein response,nt06534
Alzheimer disease,H00056,Efferocytosis,nt06535
Bladder cancer,H00022,Bladder cancer,nt06265
Cervical cancer,H00030,Human papillomavirus (HPV),nt06166
Cervical cancer,H00030,NOTCH signaling,nt06511
Cervical cancer,H00030,TNF signaling,nt06516
Cervical cancer,H00030,TLR signaling,nt06517
Cervical cancer,H00030,mTOR signaling,nt06522
Cervical cancer,H00030,Apoptosis,nt06524
Thyroid cancer,H00032,Thyroid cancer,nt06274
Noonan syndrome and related disorders,H00523,MAPK signaling,nt06526
Medullary thyroid cancer,H01592,MAPK signaling,nt06526
Costello syndrome,H01747,MAPK signaling,nt06526
Epidermal nevus,H02627,PI3K signaling,nt06530
Acute myeloid leukemia,H00003,Acute myeloid leukemia,nt06275
Acute myeloid leukemia,H00003,PI3K signaling,nt06530
Acute myeloid leukemia,H00003,Efferocytosis,nt06535
Non-small cell lung cancer,H00014,Non-small cell lung cancer,nt06266
Non-small cell lung cancer,H00014,Chromosome cohesion and segregation,nt06512
Non-small cell lung cancer,H00014,Calcium signaling,nt06528
Gastric cancer,H00018,Gastric cancer,nt06261
Gastric cancer,H00018,Base excision repair,nt06504
Gastric cancer,H00018,WNT signaling,nt06505
Pancreatic cancer,H00019,Pancreatic cancer,nt06262
Pancreatic cancer,H00019,Double-strand break repair,nt06506
Pancreatic cancer,H00019,Interstrand crosslink repair,nt06508
Colorectal cancer,H00020,Colorectal cancer,nt06260
Colorectal cancer,H00020,Mismatch repair,nt06503
Colorectal cancer,H00020,WNT signaling,nt06505
Colorectal cancer,H00020,TGFB signaling,nt06507
Colorectal cancer,H00020,Regulation of kinetochore-microtubule interactions,nt06515
Colorectal cancer,H00020,Apoptosis,nt06524
Endometrial cancer,H00026,Endometrial cancer,nt06271
Endometrial cancer,H00026,WNT signaling,nt06505
Cervical cancer,H00030,Human papillomavirus (HPV),nt06166
Cervical cancer,H00030,NOTCH signaling,nt06511
Cervical cancer,H00030,TNF signaling,nt06516
Cervical cancer,H00030,TLR signaling,nt06517
Cervical cancer,H00030,mTOR signaling,nt06522
Cervical cancer,H00030,Apoptosis,nt06524
Thyroid cancer,H00032,Thyroid cancer,nt06274
Kaposi sarcoma,H00041,Kaposi sarcoma-associated herpesvirus (KSHV),nt06164
Kaposi sarcoma,H00041,WNT signaling,nt06505
Kaposi sarcoma,H00041,Complement cascade,nt06513
Kaposi sarcoma,H00041,TNF signaling,nt06516
Kaposi sarcoma,H00041,TLR signaling,nt06517
Kaposi sarcoma,H00041,JAK-STAT signaling,nt06518
Kaposi sarcoma,H00041,Apoptosis,nt06524
Kaposi sarcoma,H00041,Autophagy,nt06532
Kaposi sarcoma,H00041,Chemokine signaling,nt06533
Noonan syndrome and related disorders,H00523,MAPK signaling,nt06526
Medullary thyroid cancer,H01592,MAPK signaling,nt06526
Noonan syndrome,H01738,MAPK signaling,nt06526
Cardiofaciocutaneous syndrome,H01745,MAPK signaling,nt06526
Juvenile myelomonocytic leukemia,H02541,MAPK signaling,nt06526
Juvenile myelomonocytic leukemia,H02541,Efferocytosis,nt06535
Acute myeloid leukemia,H00003,Acute myeloid leukemia,nt06275
Acute myeloid leukemia,H00003,PI3K signaling,nt06530
Acute myeloid leukemia,H00003,Efferocytosis,nt06535
Gastric cancer,H00018,Gastric cancer,nt06261
Gastric cancer,H00018,Base excision repair,nt06504
Gastric cancer,H00018,WNT signaling,nt06505
Thyroid cancer,H00032,Thyroid cancer,nt06274
Melanoma,H00038,Melanoma,nt06268
Melanoma,H00038,Double-strand break repair,nt06506
Melanoma,H00038,Telomere length regulation,nt06510
Autoimmune lymphoproliferative syndromes,H00108,Apoptosis,nt06524
Autoimmune lymphoproliferative syndromes,H00108,Necroptosis,nt06527
Autoimmune lymphoproliferative syndromes,H00108,TCR/BCR signaling,nt06537
Noonan syndrome and related disorders,H00523,MAPK signaling,nt06526
Noonan syndrome,H01738,MAPK signaling,nt06526
Juvenile myelomonocytic leukemia,H02541,MAPK signaling,nt06526
Juvenile myelomonocytic leukemia,H02541,Efferocytosis,nt06535
Epidermal nevus,H02627,PI3K signaling,nt06530
Non-small cell lung cancer,H00014,Non-small cell lung cancer,nt06266
Non-small cell lung cancer,H00014,Chromosome cohesion and segregation,nt06512
Non-small cell lung cancer,H00014,Calcium signaling,nt06528
Colorectal cancer,H00020,Colorectal cancer,nt06260
Colorectal cancer,H00020,Mismatch repair,nt06503
Colorectal cancer,H00020,WNT signaling,nt06505
Colorectal cancer,H00020,TGFB signaling,nt06507
Colorectal cancer,H00020,Regulation of kinetochore-microtubule interactions,nt06515
Colorectal cancer,H00020,Apoptosis,nt06524
Thyroid cancer,H00032,Thyroid cancer,nt06274
Melanoma,H00038,Melanoma,nt06268
Melanoma,H00038,Double-strand break repair,nt06506
Melanoma,H00038,Telomere length regulation,nt06510
Noonan syndrome and related disorders,H00523,MAPK signaling,nt06526
Noonan syndrome,H01738,MAPK signaling,nt06526
Cardiofaciocutaneous syndrome,H01745,MAPK signaling,nt06526
Leopard syndrome,H01984,MAPK signaling,nt06526
Leopard syndrome,H01984,Efferocytosis,nt06535
Dilated cardiomyopathy,H00294,Calcium signaling,nt06528
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,nt06539
Noonan syndrome and related disorders,H00523,MAPK signaling,nt06526
Noonan syndrome,H01738,MAPK signaling,nt06526
Leopard syndrome,H01984,MAPK signaling,nt06526
Leopard syndrome,H01984,Efferocytosis,nt06535
Noonan syndrome and related disorders,H00523,MAPK signaling,nt06526
Cardiofaciocutaneous syndrome,H01745,MAPK signaling,nt06526
Melorheostosis,H02631,MAPK signaling,nt06526
Noonan syndrome and related disorders,H00523,MAPK signaling,nt06526
Cardiofaciocutaneous syndrome,H01745,MAPK signaling,nt06526
Noonan syndrome,H01738,MAPK signaling,nt06526
Common variable immunodeficiency,H00088,TNF signaling,nt06516
Common variable immunodeficiency,H00088,TCR/BCR signaling,nt06537
Chronic mucocutaneous ulceration,H02593,TNF signaling,nt06516
Asthma,H00079,Efferocytosis,nt06535
Systemic lupus erythematosus,H00080,TLR signaling,nt06517
Systemic lupus erythematosus,H00080,CGAS-STING signaling,nt06520
Systemic lupus erythematosus,H00080,TCR/BCR signaling,nt06537
Graft-versus-host disease,H00084,Efferocytosis,nt06535
Graft-versus-host disease,H00084,Efferocytosis,nt06535
Rheumatoid arthritis,H00630,Efferocytosis,nt06535
Alzheimer disease,H00056,Alzheimer disease,nt06460
Alzheimer disease,H00056,Pathways of neurodegeneration,nt06466
Alzheimer disease,H00056,Unfolded protein response,nt06534
Alzheimer disease,H00056,Efferocytosis,nt06535
Hereditary spastic paraplegia,H00266,Cytoskeleton in muscle cells,nt06539
Lissencephaly,H00268,Regulation of kinetochore-microtubule interactions,nt06515
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Dilated cardiomyopathy,H00294,Calcium signaling,nt06528
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,nt06539
Diseases of the tricarboxylic acid cycle,H01022,Citrate cycle and pyruvate metabolism,nt06031
Mitochondrial complex II deficiency,H02005,Citrate cycle and pyruvate metabolism,nt06031
Mitochondrial complex II deficiency,H02005,Thermogenesis,nt06529
Cowden syndrome,H01222,PI3K signaling,nt06530
Malignant paraganglioma,H01510,Epigenetic regulation by Polycomb complexes,nt06523
Malignant paraganglioma,H01510,MAPK signaling,nt06526
Mitochondrial complex II deficiency,H02005,Citrate cycle and pyruvate metabolism,nt06031
Mitochondrial complex II deficiency,H02005,Thermogenesis,nt06529
Malignant paraganglioma,H01510,Epigenetic regulation by Polycomb complexes,nt06523
Malignant paraganglioma,H01510,MAPK signaling,nt06526
Cowden syndrome,H01222,PI3K signaling,nt06530
Malignant paraganglioma,H01510,Epigenetic regulation by Polycomb complexes,nt06523
Malignant paraganglioma,H01510,MAPK signaling,nt06526
Mitochondrial complex II deficiency,H02005,Citrate cycle and pyruvate metabolism,nt06031
Mitochondrial complex II deficiency,H02005,Thermogenesis,nt06529
Alzheimer disease,H00056,Alzheimer disease,nt06460
Alzheimer disease,H00056,Pathways of neurodegeneration,nt06466
Alzheimer disease,H00056,Unfolded protein response,nt06534
Alzheimer disease,H00056,Efferocytosis,nt06535
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Charcot-Marie-Tooth disease,H00264,DNA replication,nt06509
Charcot-Marie-Tooth disease,H00264,Regulation of kinetochore-microtubule interactions,nt06515
Charcot-Marie-Tooth disease,H00264,Autophagy,nt06532
Charcot-Marie-Tooth disease,H00264,Mitophagy,nt06536
Charcot-Marie-Tooth disease,H00264,Cytoskeleton in muscle cells,nt06539
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Alzheimer disease,H00056,Alzheimer disease,nt06460
Alzheimer disease,H00056,Pathways of neurodegeneration,nt06466
Alzheimer disease,H00056,Unfolded protein response,nt06534
Alzheimer disease,H00056,Efferocytosis,nt06535
Dilated cardiomyopathy,H00294,Calcium signaling,nt06528
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,nt06539
Acne inversa,H00681,NOTCH signaling,nt06511
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Hereditary spastic paraplegia,H00266,Cytoskeleton in muscle cells,nt06539
