涉及疾病,涉及疾病的编号,药物,药物编号,药物链接
Alzheimer disease,H00056,Lecanemab,D11678,https://www.kegg.jp/entry/D11678
Alzheimer disease,H00056,Donanemab,D11500,https://www.kegg.jp/entry/D11500
Alzheimer disease,H00056,Memantine and donepezil,D11387,https://www.kegg.jp/entry/D11387
Alzheimer disease,H00056,Benzgalantamine gluconate,D12931,https://www.kegg.jp/entry/D12931
Primary aldosteronism,H01603,Spironolactone,D00443,https://www.kegg.jp/entry/D00443
Periodic paralysis,H00215,Dichlorphenamide,D00518,https://www.kegg.jp/entry/D00518
Hypokalemic periodic paralysis,H00746,Potassium chloride,D02060,https://www.kegg.jp/entry/D02060
Hypokalemic periodic paralysis,H00746,Dichlorphenamide,D00518,https://www.kegg.jp/entry/D00518
Thrombocytopenia (THC),H00978,Triamcinolone acetonide,D00983,https://www.kegg.jp/entry/D00983
Thrombocytopenia (THC),H00978,Lusutrombopag,D10476,https://www.kegg.jp/entry/D10476
Thrombocytopenia (THC),H00978,Avatrombopag maleate,D10307,https://www.kegg.jp/entry/D10307
Alzheimer disease,H00056,Donepezil hydrochloride,D00670,https://www.kegg.jp/entry/D00670
Alzheimer disease,H00056,Rivastigmine,D03822,https://www.kegg.jp/entry/D03822
Alzheimer disease,H00056,Rivastigmine tartrate,D02558,https://www.kegg.jp/entry/D02558
Alzheimer disease,H00056,Galantamine hydrobromide,D02173,https://www.kegg.jp/entry/D02173
Alzheimer disease,H00056,Memantine hydrochloride,D04905,https://www.kegg.jp/entry/D04905
Alzheimer disease,H00056,Aducanumab,D10541,https://www.kegg.jp/entry/D10541
Alzheimer disease,H00056,Lecanemab,D11678,https://www.kegg.jp/entry/D11678
Alzheimer disease,H00056,Donanemab,D11500,https://www.kegg.jp/entry/D11500
Alzheimer disease,H00056,Memantine and donepezil,D11387,https://www.kegg.jp/entry/D11387
Alzheimer disease,H00056,Benzgalantamine gluconate,D12931,https://www.kegg.jp/entry/D12931
Thrombocytopenia (THC),H00978,Triamcinolone acetonide,D00983,https://www.kegg.jp/entry/D00983
Thrombocytopenia (THC),H00978,Lusutrombopag,D10476,https://www.kegg.jp/entry/D10476
Thrombocytopenia (THC),H00978,Avatrombopag maleate,D10307,https://www.kegg.jp/entry/D10307
Alzheimer disease,H00056,Donepezil hydrochloride,D00670,https://www.kegg.jp/entry/D00670
Alzheimer disease,H00056,Rivastigmine,D03822,https://www.kegg.jp/entry/D03822
Alzheimer disease,H00056,Rivastigmine tartrate,D02558,https://www.kegg.jp/entry/D02558
Alzheimer disease,H00056,Galantamine hydrobromide,D02173,https://www.kegg.jp/entry/D02173
Alzheimer disease,H00056,Memantine hydrochloride,D04905,https://www.kegg.jp/entry/D04905
Alzheimer disease,H00056,Aducanumab,D10541,https://www.kegg.jp/entry/D10541
Alzheimer disease,H00056,Lecanemab,D11678,https://www.kegg.jp/entry/D11678
Alzheimer disease,H00056,Donanemab,D11500,https://www.kegg.jp/entry/D11500
Alzheimer disease,H00056,Memantine and donepezil,D11387,https://www.kegg.jp/entry/D11387
Alzheimer disease,H00056,Benzgalantamine gluconate,D12931,https://www.kegg.jp/entry/D12931
Thrombocytopenia (THC),H00978,Triamcinolone acetonide,D00983,https://www.kegg.jp/entry/D00983
Thrombocytopenia (THC),H00978,Lusutrombopag,D10476,https://www.kegg.jp/entry/D10476
Thrombocytopenia (THC),H00978,Avatrombopag maleate,D10307,https://www.kegg.jp/entry/D10307
Alzheimer disease,H00056,Donepezil hydrochloride,D00670,https://www.kegg.jp/entry/D00670
Alzheimer disease,H00056,Rivastigmine,D03822,https://www.kegg.jp/entry/D03822
Alzheimer disease,H00056,Rivastigmine tartrate,D02558,https://www.kegg.jp/entry/D02558
Alzheimer disease,H00056,Galantamine hydrobromide,D02173,https://www.kegg.jp/entry/D02173
Alzheimer disease,H00056,Memantine hydrochloride,D04905,https://www.kegg.jp/entry/D04905
Alzheimer disease,H00056,Aducanumab,D10541,https://www.kegg.jp/entry/D10541
Alzheimer disease,H00056,Lecanemab,D11678,https://www.kegg.jp/entry/D11678
Alzheimer disease,H00056,Donanemab,D11500,https://www.kegg.jp/entry/D11500
Alzheimer disease,H00056,Memantine and donepezil,D11387,https://www.kegg.jp/entry/D11387
Alzheimer disease,H00056,Benzgalantamine gluconate,D12931,https://www.kegg.jp/entry/D12931
Myocardial infarction,H01730,Aspirin,D00109,https://www.kegg.jp/entry/D00109
Myocardial infarction,H01730,Clopidogrel bisulfate,D00769,https://www.kegg.jp/entry/D00769
Myocardial infarction,H01730,Prasugrel hydrochloride,D05597,https://www.kegg.jp/entry/D05597
Myocardial infarction,H01730,Ticagrelor,D09017,https://www.kegg.jp/entry/D09017
Myocardial infarction,H01730,Cangrelor tetrasodium,D03361,https://www.kegg.jp/entry/D03361
Myocardial infarction,H01730,Vorapaxar sulfate,D09766,https://www.kegg.jp/entry/D09766
Myocardial infarction,H01730,Reteplase,D05721,https://www.kegg.jp/entry/D05721
Myocardial infarction,H01730,Norepinephrine bitartrate,D05206,https://www.kegg.jp/entry/D05206
Myocardial infarction,H01730,Dopamine hydrochloride,D00633,https://www.kegg.jp/entry/D00633
Myocardial infarction,H01730,Nitroglycerin,D00515,https://www.kegg.jp/entry/D00515
Myocardial infarction,H01730,Niacin,D00049,https://www.kegg.jp/entry/D00049
Myocardial infarction,H01730,Propranolol hydrochloride,D00483,https://www.kegg.jp/entry/D00483
Myocardial infarction,H01730,Metoprolol tartrate,D00601,https://www.kegg.jp/entry/D00601
Myocardial infarction,H01730,Atenolol,D00235,https://www.kegg.jp/entry/D00235
Myocardial infarction,H01730,Lovastatin,D00359,https://www.kegg.jp/entry/D00359
Myocardial infarction,H01730,Atorvastatin calcium,D02258,https://www.kegg.jp/entry/D02258
Myocardial infarction,H01730,Alirocumab,D10335,https://www.kegg.jp/entry/D10335
Alzheimer disease,H00056,Donepezil hydrochloride,D00670,https://www.kegg.jp/entry/D00670
Alzheimer disease,H00056,Rivastigmine,D03822,https://www.kegg.jp/entry/D03822
Alzheimer disease,H00056,Rivastigmine tartrate,D02558,https://www.kegg.jp/entry/D02558
Alzheimer disease,H00056,Galantamine hydrobromide,D02173,https://www.kegg.jp/entry/D02173
Alzheimer disease,H00056,Memantine hydrochloride,D04905,https://www.kegg.jp/entry/D04905
Alzheimer disease,H00056,Aducanumab,D10541,https://www.kegg.jp/entry/D10541
Alzheimer disease,H00056,Lecanemab,D11678,https://www.kegg.jp/entry/D11678
Alzheimer disease,H00056,Donanemab,D11500,https://www.kegg.jp/entry/D11500
Alzheimer disease,H00056,Memantine and donepezil,D11387,https://www.kegg.jp/entry/D11387
Alzheimer disease,H00056,Benzgalantamine gluconate,D12931,https://www.kegg.jp/entry/D12931
Acne inversa,H00681,Adalimumab,D02597,https://www.kegg.jp/entry/D02597
Alzheimer disease,H00056,Donepezil hydrochloride,D00670,https://www.kegg.jp/entry/D00670
Alzheimer disease,H00056,Rivastigmine,D03822,https://www.kegg.jp/entry/D03822
Alzheimer disease,H00056,Rivastigmine tartrate,D02558,https://www.kegg.jp/entry/D02558
Alzheimer disease,H00056,Galantamine hydrobromide,D02173,https://www.kegg.jp/entry/D02173
Alzheimer disease,H00056,Memantine hydrochloride,D04905,https://www.kegg.jp/entry/D04905
Alzheimer disease,H00056,Aducanumab,D10541,https://www.kegg.jp/entry/D10541
Alzheimer disease,H00056,Lecanemab,D11678,https://www.kegg.jp/entry/D11678
Alzheimer disease,H00056,Donanemab,D11500,https://www.kegg.jp/entry/D11500
Alzheimer disease,H00056,Memantine and donepezil,D11387,https://www.kegg.jp/entry/D11387
Alzheimer disease,H00056,Benzgalantamine gluconate,D12931,https://www.kegg.jp/entry/D12931
Acne inversa,H00681,Adalimumab,D02597,https://www.kegg.jp/entry/D02597
Bipolar disorder,H01653,Divalproex sodium,D00304,https://www.kegg.jp/entry/D00304
Bipolar disorder,H01653,Lamotrigine,D00354,https://www.kegg.jp/entry/D00354
Bipolar disorder,H01653,Chlorpromazine hydrochloride,D00789,https://www.kegg.jp/entry/D00789
Bipolar disorder,H01653,Lumateperone tosylate,D11170,https://www.kegg.jp/entry/D11170
Bipolar disorder,H01653,Ziprasidone hydrochloride,D01939,https://www.kegg.jp/entry/D01939
Bipolar disorder,H01653,Lurasidone hydrochloride,D04820,https://www.kegg.jp/entry/D04820
Bipolar disorder,H01653,Loxapine,D02340,https://www.kegg.jp/entry/D02340
Bipolar disorder,H01653,Olanzapine,D00454,https://www.kegg.jp/entry/D00454
Bipolar disorder,H01653,Quetiapine fumarate,D00458,https://www.kegg.jp/entry/D00458
Bipolar disorder,H01653,Asenapine maleate,D02995,https://www.kegg.jp/entry/D02995
Bipolar disorder,H01653,Olanzapine and samidorphan,D12117,https://www.kegg.jp/entry/D12117
Bipolar disorder,H01653,Lithium carbonate,D00801,https://www.kegg.jp/entry/D00801
Bipolar disorder,H01653,Risperidone,D00426,https://www.kegg.jp/entry/D00426
Bipolar disorder,H01653,Aripiprazole,D01164,https://www.kegg.jp/entry/D01164
Bipolar disorder,H01653,Aripiprazole hydrate,D10516,https://www.kegg.jp/entry/D10516
Bipolar disorder,H01653,Cariprazine hydrochloride,D09876,https://www.kegg.jp/entry/D09876
Bipolar disorder,H01653,Dexmedetomidine hydrochloride,D01205,https://www.kegg.jp/entry/D01205
Bipolar disorder,H01653,Fluoxetine hydrochloride,D00823,https://www.kegg.jp/entry/D00823
Bipolar disorder,H01653,Olanzapine and fluoxetine hydrochloride,D10206,https://www.kegg.jp/entry/D10206
Alzheimer disease,H00056,Donepezil hydrochloride,D00670,https://www.kegg.jp/entry/D00670
Alzheimer disease,H00056,Rivastigmine,D03822,https://www.kegg.jp/entry/D03822
Alzheimer disease,H00056,Rivastigmine tartrate,D02558,https://www.kegg.jp/entry/D02558
Alzheimer disease,H00056,Galantamine hydrobromide,D02173,https://www.kegg.jp/entry/D02173
Alzheimer disease,H00056,Memantine hydrochloride,D04905,https://www.kegg.jp/entry/D04905
Alzheimer disease,H00056,Aducanumab,D10541,https://www.kegg.jp/entry/D10541
Alzheimer disease,H00056,Lecanemab,D11678,https://www.kegg.jp/entry/D11678
Alzheimer disease,H00056,Donanemab,D11500,https://www.kegg.jp/entry/D11500
Alzheimer disease,H00056,Memantine and donepezil,D11387,https://www.kegg.jp/entry/D11387
Alzheimer disease,H00056,Benzgalantamine gluconate,D12931,https://www.kegg.jp/entry/D12931
Lennox-Gastaut syndrome,H01813,Fenfluramine hydrochloride,D04148,https://www.kegg.jp/entry/D04148
Lennox-Gastaut syndrome,H01813,Clonazepam,D00280,https://www.kegg.jp/entry/D00280
Lennox-Gastaut syndrome,H01813,Rufinamide,D05775,https://www.kegg.jp/entry/D05775
Lennox-Gastaut syndrome,H01813,Lamotrigine,D00354,https://www.kegg.jp/entry/D00354
Lennox-Gastaut syndrome,H01813,Topiramate,D00537,https://www.kegg.jp/entry/D00537
Lennox-Gastaut syndrome,H01813,Cannabidiol,D10915,https://www.kegg.jp/entry/D10915
Lennox-Gastaut syndrome,H01813,Clobazam,D01253,https://www.kegg.jp/entry/D01253
Alzheimer disease,H00056,Donepezil hydrochloride,D00670,https://www.kegg.jp/entry/D00670
Alzheimer disease,H00056,Rivastigmine,D03822,https://www.kegg.jp/entry/D03822
Alzheimer disease,H00056,Rivastigmine tartrate,D02558,https://www.kegg.jp/entry/D02558
Alzheimer disease,H00056,Galantamine hydrobromide,D02173,https://www.kegg.jp/entry/D02173
Alzheimer disease,H00056,Memantine hydrochloride,D04905,https://www.kegg.jp/entry/D04905
Alzheimer disease,H00056,Aducanumab,D10541,https://www.kegg.jp/entry/D10541
Alzheimer disease,H00056,Lecanemab,D11678,https://www.kegg.jp/entry/D11678
Alzheimer disease,H00056,Donanemab,D11500,https://www.kegg.jp/entry/D11500
Alzheimer disease,H00056,Memantine and donepezil,D11387,https://www.kegg.jp/entry/D11387
Alzheimer disease,H00056,Benzgalantamine gluconate,D12931,https://www.kegg.jp/entry/D12931
Acne inversa,H00681,Adalimumab,D02597,https://www.kegg.jp/entry/D02597
Bipolar disorder,H01653,Divalproex sodium,D00304,https://www.kegg.jp/entry/D00304
Bipolar disorder,H01653,Lamotrigine,D00354,https://www.kegg.jp/entry/D00354
Bipolar disorder,H01653,Chlorpromazine hydrochloride,D00789,https://www.kegg.jp/entry/D00789
Bipolar disorder,H01653,Lumateperone tosylate,D11170,https://www.kegg.jp/entry/D11170
Bipolar disorder,H01653,Ziprasidone hydrochloride,D01939,https://www.kegg.jp/entry/D01939
Bipolar disorder,H01653,Lurasidone hydrochloride,D04820,https://www.kegg.jp/entry/D04820
Bipolar disorder,H01653,Loxapine,D02340,https://www.kegg.jp/entry/D02340
Bipolar disorder,H01653,Olanzapine,D00454,https://www.kegg.jp/entry/D00454
Bipolar disorder,H01653,Quetiapine fumarate,D00458,https://www.kegg.jp/entry/D00458
Bipolar disorder,H01653,Asenapine maleate,D02995,https://www.kegg.jp/entry/D02995
Bipolar disorder,H01653,Olanzapine and samidorphan,D12117,https://www.kegg.jp/entry/D12117
Bipolar disorder,H01653,Lithium carbonate,D00801,https://www.kegg.jp/entry/D00801
Bipolar disorder,H01653,Risperidone,D00426,https://www.kegg.jp/entry/D00426
Bipolar disorder,H01653,Aripiprazole,D01164,https://www.kegg.jp/entry/D01164
Bipolar disorder,H01653,Aripiprazole hydrate,D10516,https://www.kegg.jp/entry/D10516
Bipolar disorder,H01653,Cariprazine hydrochloride,D09876,https://www.kegg.jp/entry/D09876
Bipolar disorder,H01653,Dexmedetomidine hydrochloride,D01205,https://www.kegg.jp/entry/D01205
Bipolar disorder,H01653,Fluoxetine hydrochloride,D00823,https://www.kegg.jp/entry/D00823
Bipolar disorder,H01653,Olanzapine and fluoxetine hydrochloride,D10206,https://www.kegg.jp/entry/D10206
Alzheimer disease,H00056,Donepezil hydrochloride,D00670,https://www.kegg.jp/entry/D00670
Alzheimer disease,H00056,Rivastigmine,D03822,https://www.kegg.jp/entry/D03822
Alzheimer disease,H00056,Rivastigmine tartrate,D02558,https://www.kegg.jp/entry/D02558
Alzheimer disease,H00056,Galantamine hydrobromide,D02173,https://www.kegg.jp/entry/D02173
Alzheimer disease,H00056,Memantine hydrochloride,D04905,https://www.kegg.jp/entry/D04905
Alzheimer disease,H00056,Aducanumab,D10541,https://www.kegg.jp/entry/D10541
Alzheimer disease,H00056,Lecanemab,D11678,https://www.kegg.jp/entry/D11678
Alzheimer disease,H00056,Donanemab,D11500,https://www.kegg.jp/entry/D11500
Alzheimer disease,H00056,Memantine and donepezil,D11387,https://www.kegg.jp/entry/D11387
Alzheimer disease,H00056,Benzgalantamine gluconate,D12931,https://www.kegg.jp/entry/D12931
Chronic lymphocytic leukemia,H00005,Cyclophosphamide,D00287,https://www.kegg.jp/entry/D00287
Chronic lymphocytic leukemia,H00005,Chlorambucil,D00266,https://www.kegg.jp/entry/D00266
Chronic lymphocytic leukemia,H00005,Bendamustine hydrochloride,D07085,https://www.kegg.jp/entry/D07085
Chronic lymphocytic leukemia,H00005,Fludarabine phosphate,D01907,https://www.kegg.jp/entry/D01907
Chronic lymphocytic leukemia,H00005,Ibrutinib,D10223,https://www.kegg.jp/entry/D10223
Chronic lymphocytic leukemia,H00005,Acalabrutinib,D10893,https://www.kegg.jp/entry/D10893
Chronic lymphocytic leukemia,H00005,Idelalisib,D10560,https://www.kegg.jp/entry/D10560
Chronic lymphocytic leukemia,H00005,Duvelisib hydrate,D11658,https://www.kegg.jp/entry/D11658
Chronic lymphocytic leukemia,H00005,Pemigatinib,D11417,https://www.kegg.jp/entry/D11417
Chronic lymphocytic leukemia,H00005,Rituximab,D02994,https://www.kegg.jp/entry/D02994
Chronic lymphocytic leukemia,H00005,Rituximab and hyaluronidase,D11393,https://www.kegg.jp/entry/D11393
Chronic lymphocytic leukemia,H00005,Ofatumumab,D09314,https://www.kegg.jp/entry/D09314
Chronic lymphocytic leukemia,H00005,Obinutuzumab,D09321,https://www.kegg.jp/entry/D09321
Chronic lymphocytic leukemia,H00005,Venetoclax,D10679,https://www.kegg.jp/entry/D10679
Chronic lymphocytic leukemia,H00005,Alemtuzumab,D02802,https://www.kegg.jp/entry/D02802
Chronic lymphocytic leukemia,H00005,Sodium phosphate P 32,D05870,https://www.kegg.jp/entry/D05870
Chronic lymphocytic leukemia,H00005,Ibritumomab tiuxetan,D04489,https://www.kegg.jp/entry/D04489
Hodgkin lymphoma,H00007,Cyclophosphamide,D00287,https://www.kegg.jp/entry/D00287
Hodgkin lymphoma,H00007,Chlorambucil,D00266,https://www.kegg.jp/entry/D00266
Hodgkin lymphoma,H00007,Carmustine,D00254,https://www.kegg.jp/entry/D00254
Hodgkin lymphoma,H00007,Lomustine,D00363,https://www.kegg.jp/entry/D00363
Hodgkin lymphoma,H00007,Dacarbazine,D00288,https://www.kegg.jp/entry/D00288
Hodgkin lymphoma,H00007,Vinblastine sulfate,D01068,https://www.kegg.jp/entry/D01068
Hodgkin lymphoma,H00007,Vincristine sulfate,D02197,https://www.kegg.jp/entry/D02197
Hodgkin lymphoma,H00007,Doxorubicin hydrochloride,D01275,https://www.kegg.jp/entry/D01275
Hodgkin lymphoma,H00007,Bleomycin sulfate,D02177,https://www.kegg.jp/entry/D02177
Hodgkin lymphoma,H00007,Pemigatinib,D11417,https://www.kegg.jp/entry/D11417
Hodgkin lymphoma,H00007,Nivolumab,D10316,https://www.kegg.jp/entry/D10316
Hodgkin lymphoma,H00007,Pembrolizumab,D10574,https://www.kegg.jp/entry/D10574
Hodgkin lymphoma,H00007,Brentuximab vedotin,D09587,https://www.kegg.jp/entry/D09587
Hodgkin lymphoma,H00007,Procarbazine hydrochloride,D00478,https://www.kegg.jp/entry/D00478
Esophageal cancer,H00017,Capecitabine,D01223,https://www.kegg.jp/entry/D01223
Esophageal cancer,H00017,Floxuridine,D04197,https://www.kegg.jp/entry/D04197
